Uge;Aldersgruppe;Klassifikation;Procent af indlæggelser
uge 51 2021;0-59;Covid-19 diagnose;58,7
uge 52 2021;0-59;Covid-19 diagnose;56,2
uge 1 2022;0-59;Covid-19 diagnose;52,1
uge 2 2022;0-59;Covid-19 diagnose;54,3
uge 3 2022;0-59;Covid-19 diagnose;49,3
uge 4 2022;0-59;Covid-19 diagnose;44,3
uge 5 2022;0-59;Covid-19 diagnose;39,9
uge 6 2022;0-59;Covid-19 diagnose;40,6
uge 51 2021;60+;Covid-19 diagnose;81,1
uge 52 2021;60+;Covid-19 diagnose;78,4
uge 1 2022;60+;Covid-19 diagnose;72,0
uge 2 2022;60+;Covid-19 diagnose;71,3
uge 3 2022;60+;Covid-19 diagnose;68,7
uge 4 2022;60+;Covid-19 diagnose;67,8
uge 5 2022;60+;Covid-19 diagnose;65,9
uge 6 2022;60+;Covid-19 diagnose;64,9
uge 51 2021;0-59;Luftvejs- eller obsdiagnose;3,0
uge 52 2021;0-59;Luftvejs- eller obsdiagnose;4,4
uge 1 2022;0-59;Luftvejs- eller obsdiagnose;3,7
uge 2 2022;0-59;Luftvejs- eller obsdiagnose;4,0
uge 3 2022;0-59;Luftvejs- eller obsdiagnose;5,7
uge 4 2022;0-59;Luftvejs- eller obsdiagnose;5,0
uge 5 2022;0-59;Luftvejs- eller obsdiagnose;5,4
uge 6 2022;0-59;Luftvejs- eller obsdiagnose;4,7
uge 51 2021;60+;Luftvejs- eller obsdiagnose;2,2
uge 52 2021;60+;Luftvejs- eller obsdiagnose;2,6
uge 1 2022;60+;Luftvejs- eller obsdiagnose;3,8
uge 2 2022;60+;Luftvejs- eller obsdiagnose;4,0
uge 3 2022;60+;Luftvejs- eller obsdiagnose;2,7
uge 4 2022;60+;Luftvejs- eller obsdiagnose;4,0
uge 5 2022;60+;Luftvejs- eller obsdiagnose;6,5
uge 6 2022;60+;Luftvejs- eller obsdiagnose;4,4
uge 51 2021;0-59;Anden diagnose;38,3
uge 52 2021;0-59;Anden diagnose;39,4
uge 1 2022;0-59;Anden diagnose;44,1
uge 2 2022;0-59;Anden diagnose;41,7
uge 3 2022;0-59;Anden diagnose;45,0
uge 4 2022;0-59;Anden diagnose;50,7
uge 5 2022;0-59;Anden diagnose;54,7
uge 6 2022;0-59;Anden diagnose;54,7
uge 51 2021;60+;Anden diagnose;16,7
uge 52 2021;60+;Anden diagnose;19,0
uge 1 2022;60+;Anden diagnose;24,1
uge 2 2022;60+;Anden diagnose;24,7
uge 3 2022;60+;Anden diagnose;28,6
uge 4 2022;60+;Anden diagnose;28,3
uge 5 2022;60+;Anden diagnose;27,6
uge 6 2022;60+;Anden diagnose;30,7
