Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   3.275 (48);   3.521 (52);   6.796
10-19;   9.850 (48);  10.594 (52);  20.444
20-29;  11.912 (50);  11.754 (50);  23.666
30-39;   8.205 (50);   8.048 (50);  16.253
40-49;   9.435 (53);   8.500 (47);  17.935
50-59;   8.776 (51);   8.438 (49);  17.214
60-69;   4.290 (48);   4.632 (52);   8.922
70-79;   2.623 (49);   2.711 (51);   5.334
80-89;   1.404 (56);   1.089 (44);   2.493
90+;     512 (71);     210 (29);     722
I alt;  60.282 (50);  59.497 (50); 119.779
