Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     645 (50);     649 (50);   1.294
10-19;   1.823 (50);   1.846 (50);   3.669
20-29;   3.072 (53);   2.779 (47);   5.851
30-39;   2.248 (53);   2.007 (47);   4.255
40-49;   2.618 (55);   2.135 (45);   4.753
50-59;   2.523 (53);   2.202 (47);   4.725
60-69;   1.274 (48);   1.387 (52);   2.661
70-79;     827 (47);     940 (53);   1.767
80-89;     609 (57);     466 (43);   1.075
90+;     236 (72);      93 (28);     329
I alt;  15.875 (52);  14.504 (48);  30.379
