Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     651 (50);     656 (50);   1.307
10-19;   1.852 (50);   1.880 (50);   3.732
20-29;   3.103 (52);   2.817 (48);   5.920
30-39;   2.263 (53);   2.029 (47);   4.292
40-49;   2.648 (55);   2.165 (45);   4.813
50-59;   2.546 (53);   2.225 (47);   4.771
60-69;   1.283 (48);   1.396 (52);   2.679
70-79;     839 (47);     947 (53);   1.786
80-89;     610 (56);     470 (44);   1.080
90+;     236 (72);      94 (28);     330
I alt;  16.031 (52);  14.679 (48);  30.710
