Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   3.560 (48);   3.810 (52);   7.370
10-19;  10.551 (48);  11.323 (52);  21.874
20-29;  12.846 (50);  12.597 (50);  25.443
30-39;   8.815 (51);   8.560 (49);  17.375
40-49;  10.107 (53);   9.019 (47);  19.126
50-59;   9.404 (51);   9.036 (49);  18.440
60-69;   4.617 (48);   4.952 (52);   9.569
70-79;   2.830 (49);   2.904 (51);   5.734
80-89;   1.479 (56);   1.143 (44);   2.622
90+;     540 (70);     228 (30);     768
I alt;  64.749 (50);  63.572 (50); 128.321
