Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     744 (49);     763 (51);   1.507
10-19;   2.120 (49);   2.193 (51);   4.313
20-29;   3.461 (52);   3.208 (48);   6.669
30-39;   2.491 (52);   2.290 (48);   4.781
40-49;   2.894 (54);   2.461 (46);   5.355
50-59;   2.799 (52);   2.534 (48);   5.333
60-69;   1.420 (48);   1.561 (52);   2.981
70-79;     943 (47);   1.048 (53);   1.991
80-89;     658 (56);     509 (44);   1.167
90+;     244 (71);     100 (29);     344
I alt;  17.774 (52);  16.667 (48);  34.441
