Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.291 (48);  12.160 (52);  23.451
10-19;  26.317 (49);  27.619 (51);  53.936
20-29;  34.327 (49);  36.138 (51);  70.465
30-39;  22.390 (50);  22.749 (50);  45.139
40-49;  23.744 (52);  21.568 (48);  45.312
50-59;  21.126 (51);  20.632 (49);  41.758
60-69;  10.412 (48);  11.127 (52);  21.539
70-79;   6.097 (49);   6.273 (51);  12.370
80-89;   3.545 (58);   2.606 (42);   6.151
90+;   1.335 (70);     563 (30);   1.898
I alt; 160.584 (50); 161.435 (50); 322.019
