Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   8.641 (48);   9.341 (52);  17.982
10-19;  18.471 (49);  19.439 (51);  37.910
20-29;  23.335 (51);  22.379 (49);  45.714
30-39;  17.250 (51);  16.606 (49);  33.856
40-49;  18.969 (53);  16.811 (47);  35.780
50-59;  17.832 (51);  16.891 (49);  34.723
60-69;   9.152 (49);   9.667 (51);  18.819
70-79;   5.689 (49);   5.829 (51);  11.518
80-89;   3.415 (58);   2.501 (42);   5.916
90+;   1.303 (71);     544 (29);   1.847
I alt; 124.057 (51); 120.008 (49); 244.065
