Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     127 (52);     116 (48);     243
10-19;     264 (54);     223 (46);     487
20-29;     935 (62);     568 (38);   1.503
30-39;     968 (61);     608 (39);   1.576
40-49;   1.181 (60);     780 (40);   1.961
50-59;   1.213 (60);     813 (40);   2.026
60-69;     646 (50);     655 (50);   1.301
70-79;     431 (45);     517 (55);     948
80-89;     432 (57);     326 (43);     758
90+;     175 (73);      66 (27);     241
I alt;   6.372 (58);   4.672 (42);  11.044
