Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 11-2022;1039813;88103;4754346;1160713;3590666;554826;30223;3086495;483691;2601879;2935;189;44971;4838;40127;17733;1828;190888;29084;161711;10347;896;158023;17885;140104;19411;2004;214152;32153;181898;564;58;2065;570;1494;171;17;1190;127;1063
Uge 10-2022;1039656;89027;4754236;1168552;3581393;600501;34175;3340539;559910;2779213;5333;364;70272;9346;60915;24755;2446;272553;43068;229300;16013;1312;233280;28995;204200;27676;2740;313185;48827;264151;969;89;3314;1060;2251;208;9;1451;168;1283
Uge 09-2022;1039375;90477;4753785;1176973;3571479;651110;39279;3557982;641510;2914499;8630;605;95370;14132;81209;29622;2686;327559;49456;277831;21373;1684;289659;36623;252893;33750;3055;384199;57309;326569;1419;106;4321;1471;2840;307;21;1750;235;1514
Uge 08-2022;1039154;92614;4752489;1190534;3553908;711744;47386;3774987;737667;3033897;13327;918;129244;21508;107662;39302;3430;420979;65137;355396;30445;2294;379754;51596;327894;45357;3990;503718;76457;426729;2010;194;6099;2041;4042;393;34;2028;325;1700
Uge 07-2022;1039023;94975;4750858;1211675;3526883;772633;57423;3961451;839935;3115637;25509;1819;198514;41056;157227;62739;5319;572339;102799;468464;51187;3937;523522;86006;436748;74139;6256;699661;123224;575109;3357;275;9200;3451;5717;551;39;2163;407;1754
Uge 06-2022;1039074;99923;4746313;1255976;3468636;812835;66944;4071552;930496;3128399;43870;3512;250014;70892;178320;100980;9171;735011;166490;565307;84512;7154;674639;143647;528533;120020;10804;909580;199753;705885;5496;411;12071;5102;6896;631;46;2011;506;1498
Uge 05-2022;1039952;106442;4739899;1359597;3343267;839450;75790;4166949;1071925;3069389;51728;4614;223477;82376;139110;119723;11725;750627;201818;541975;103237;9599;694512;180002;508684;144661;14134;944924;247443;688863;5615;407;9911;4602;5184;600;44;1648;467;1168
Uge 04-2022;1042232;119878;4725131;1524344;3139054;860317;89426;4243449;1263000;2930865;58914;6921;214764;97397;113454;158829;19382;877533;289405;572551;136452;16212;811275;259814;537638;193948;23584;1105160;356896;728632;7004;500;10092;5617;4311;527;36;1311;495;798
Uge 03-2022;1047793;138814;4701229;1720764;2868889;877833;108339;4283000;1477057;2709258;62950;9307;194715;104003;83110;192244;29664;976137;374091;566869;166184;25559;902587;337666;532963;246577;38356;1276188;481080;747663;7902;525;9671;6172;3263;518;45;1023;462;545
Uge 02-2022;1057845;173251;4657344;1976724;2564526;903096;143735;4292683;1751547;2437834;43886;7979;119683;72605;41021;168768;34208;845789;369601;446739;147398;30377;783522;335970;420486;218751;44236;1095534;472697;584115;5263;381;6179;4372;1649;437;50;814;392;415
