Dato;Hovedstaden;Sjælland;Syddanmark;Midtjylland;Nordjylland;Ukendt Region;Total
2020-03-01;0;0;0;0;0;0;0
2020-03-02;0;0;0;0;0;0;0
2020-03-03;0;0;0;0;0;0;0
2020-03-04;0;0;0;0;0;0;0
2020-03-05;0;0;0;0;0;0;0
2020-03-06;0;0;0;0;0;0;0
2020-03-07;0;0;0;0;0;0;0
2020-03-08;0;0;0;0;0;0;0
2020-03-09;0;0;0;0;0;0;0
2020-03-10;0;1;0;0;0;0;1
2020-03-11;0;0;0;0;0;0;0
2020-03-12;1;3;0;0;1;0;5
2020-03-13;1;0;0;2;0;0;3
2020-03-14;2;0;0;1;1;0;4
2020-03-15;2;0;0;0;2;0;4
2020-03-16;2;2;1;1;1;0;7
2020-03-17;6;2;2;1;1;0;12
2020-03-18;5;2;0;0;1;0;8
2020-03-19;9;1;1;0;1;0;12
2020-03-20;8;4;0;1;1;0;14
2020-03-21;7;2;0;0;0;0;9
2020-03-22;7;2;3;3;1;0;16
2020-03-23;12;4;3;13;2;0;34
2020-03-24;19;3;6;7;1;0;36
2020-03-25;19;6;8;4;5;0;42
2020-03-26;15;7;5;4;5;0;36
2020-03-27;18;5;10;6;2;0;41
2020-03-28;17;10;11;2;4;0;44
2020-03-29;21;7;6;5;3;0;42
2020-03-30;26;10;8;12;0;1;57
2020-03-31;21;9;3;9;2;0;44
2020-04-01;30;8;12;7;4;1;62
2020-04-02;38;12;9;10;5;0;74
2020-04-03;38;8;9;14;12;0;81
2020-04-04;28;7;1;7;2;1;46
2020-04-05;24;5;2;2;2;1;36
2020-04-06;29;10;8;5;1;1;54
2020-04-07;36;8;7;6;0;0;57
2020-04-08;15;7;5;3;1;0;31
2020-04-09;17;7;2;8;0;0;34
2020-04-10;16;8;1;6;3;1;35
2020-04-11;17;5;5;3;0;0;30
2020-04-12;13;6;3;3;3;0;28
2020-04-13;18;7;1;4;0;0;30
2020-04-14;22;8;3;10;1;1;45
2020-04-15;12;10;0;5;1;0;28
2020-04-16;17;6;1;9;0;0;33
2020-04-17;13;10;2;2;0;0;27
2020-04-18;15;9;1;2;0;0;27
2020-04-19;20;9;0;4;0;1;34
2020-04-20;16;11;2;4;0;0;33
