Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 06-2022;1032174;94158;4751318;1221479;3508632;805836;63251;4074555;900251;3161977;43873;3289;250177;68320;181068;100683;8624;735094;160644;571300;84233;6731;674656;138146;534102;119604;10189;909432;192711;712853;5494;380;12099;5022;7005;618;44;1991;498;1486
Uge 05-2022;1033261;100488;4744974;1326472;3382563;832689;71677;4170258;1041829;3103611;51740;4429;223640;80402;141265;119752;11198;751103;196666;547699;103261;9170;694897;175106;514049;144694;13532;945464;241080;695877;5618;389;9925;4533;5267;599;43;1640;462;1165
Uge 04-2022;1035307;113506;4730431;1493246;3177296;853346;84786;4247100;1233975;2965027;58930;6732;214935;95673;115414;158851;18778;878041;283603;579109;136474;15709;811696;254275;543818;193971;22875;1105754;349746;736668;7004;477;10113;5577;4374;527;36;1304;491;796
Uge 03-2022;1040838;131506;4707425;1692330;2905865;870840;102722;4287574;1449874;2742958;62961;9074;194933;102487;84927;192295;28822;976898;367728;574333;166224;24846;903235;331608;539981;246640;37318;1277120;472913;757192;7905;500;9693;6144;3318;517;44;1020;460;546
Uge 02-2022;1050863;164837;4664628;1950358;2600536;896086;136897;4298446;1725981;2471152;43895;7755;119888;71657;42249;168793;33238;846687;364000;453580;147423;29553;784282;330575;426950;218775;43085;1096594;465517;592779;5262;360;6199;4352;1693;438;49;813;391;415
Uge 01-2022;1069583;224201;4587423;2350943;2174965;926805;194783;4255914;2124814;2076639;26713;5330;94615;66793;26192;136961;37928;834203;443430;379231;117933;33537;771880;403730;357862;175927;48627;1070447;564320;491249;3758;357;5892;4764;1047;346;38;734;403;324
Uge 52-2021;1091763;248768;4542246;3153974;1348524;958952;219905;4233296;2905641;1295194;21913;5412;92001;70599;20489;113814;37062;762563;525878;230795;100105;33361;709619;486833;218024;140924;45830;936719;640645;288875;2454;233;4379;3657;669;357;44;743;461;276
Uge 51-2021;1123293;236534;4523642;3466181;1013670;998650;209438;4233248;3222193;976066;14219;3622;58522;52374;5691;148011;49563;865693;660554;197560;133759;45062;806864;614444;186507;177245;58595;1033262;781667;242667;1027;122;2398;2157;206;314;28;487;355;123
Uge 50-2021;1205654;177413;4501550;3639905;819472;1084844;154544;4230244;3406972;789086;18870;4270;50058;46541;3191;219003;46593;920841;746319;166502;200380;41846;861377;697843;157110;292119;64276;1167349;939984;217097;747;90;1777;1645;102;282;26;474;369;102
Uge 49-2021;1276704;130124;4478290;3821176;626142;1159919;108946;4223257;3595942;601581;17994;2282;27359;25812;1353;233648;26499;845190;710159;129898;214948;22852;794658;667821;122554;316079;35705;1052261;879638;166072;344;42;430;390;39;241;17;411;349;61
Uge 48-2021;1316591;109849;4459686;3947629;490445;1202458;89846;4215708;3727624;470138;14768;929;18533;17768;686;227226;18466;786356;681991;101262;208855;15193;741151;643218;95356;303223;23673;949540;820031;125685;230;22;125;113;11;222;16;375;320;53
Uge 47-2021;1335771;102393;4448416;4030076;398356;1223020;84043;4212833;3814468;381803;12789;714;15313;14783;459;224675;16751;764772;679717;82203;207238;13912;722602;642792;77396;292922;20834;916799;811767;101570;208;12;100;94;6;220;14;330;303;27
Uge 46-2021;1358999;89212;4438669;4096413;325302;1244846;73952;4209198;3883099;312042;12506;699;14750;14295;396;218193;14318;712757;648785;61715;201212;12114;674397;614174;58300;283070;17631;853716;775420;75528;201;7;84;80;3;211;8;330;297;33
Uge 45-2021;1384938;72680;4429635;4169279;244676;1268690;60277;4204134;3956294;234819;10451;432;11717;11488;196;203274;10536;670160;626641;41476;187757;9078;634474;593574;39146;259723;12712;797467;745252;49717;174;7;61;60;1;145;15;291;269;22
Uge 44-2021;1396218;68298;4423041;4245689;160851;1280239;56476;4200460;4032243;154427;7598;250;8024;7891;108;149841;7103;527743;505855;20083;139150;6123;499793;479396;18863;193312;8557;630084;604339;23541;130;5;39;36;3;159;9;206;192;11
Uge 43-2021;1404922;67992;4415609;4282067;115577;1289159;56189;4195610;4069837;110660;5192;178;6432;6351;66;106471;5875;433243;420070;11622;98397;5096;410495;398329;10827;127114;6823;495149;480131;13208;107;3;39;38;1;113;3;182;167;15
