Aldersgruppe;Uge 06-2022_Ingen vaccination;Uge 06-2022_Første vaccination;Uge 06-2022_Anden vaccination;Uge 06-2022_Fuld effekt efter primært forløb;Uge 06-2022_Fuld effekt efter revaccination;Uge 05-2022_Ingen vaccination;Uge 05-2022_Første vaccination;Uge 05-2022_Anden vaccination;Uge 05-2022_Fuld effekt efter primært forløb;Uge 05-2022_Fuld effekt efter revaccination;Uge 04-2022_Ingen vaccination;Uge 04-2022_Første vaccination;Uge 04-2022_Anden vaccination;Uge 04-2022_Fuld effekt efter primært forløb;Uge 04-2022_Fuld effekt efter revaccination;Uge 03-2022_Ingen vaccination;Uge 03-2022_Første vaccination;Uge 03-2022_Anden vaccination;Uge 03-2022_Fuld effekt efter primært forløb;Uge 03-2022_Fuld effekt efter revaccination;Uge 02-2022_Ingen vaccination;Uge 02-2022_Første vaccination;Uge 02-2022_Anden vaccination;Uge 02-2022_Fuld effekt efter primært forløb;Uge 02-2022_Fuld effekt efter revaccination;Uge 01-2022_Ingen vaccination;Uge 01-2022_Første vaccination;Uge 01-2022_Anden vaccination;Uge 01-2022_Fuld effekt efter primært forløb;Uge 01-2022_Fuld effekt efter revaccination;Uge 52-2021_Ingen vaccination;Uge 52-2021_Første vaccination;Uge 52-2021_Anden vaccination;Uge 52-2021_Fuld effekt efter primært forløb;Uge 52-2021_Fuld effekt efter revaccination;Uge 51-2021_Ingen vaccination;Uge 51-2021_Første vaccination;Uge 51-2021_Anden vaccination;Uge 51-2021_Fuld effekt efter primært forløb;Uge 51-2021_Fuld effekt efter revaccination;Uge 50-2021_Ingen vaccination;Uge 50-2021_Første vaccination;Uge 50-2021_Anden vaccination;Uge 50-2021_Fuld effekt efter primært forløb;Uge 50-2021_Fuld effekt efter revaccination;Uge 49-2021_Ingen vaccination;Uge 49-2021_Første vaccination;Uge 49-2021_Anden vaccination;Uge 49-2021_Fuld effekt efter primært forløb;Uge 49-2021_Fuld effekt efter revaccination;Uge 48-2021_Ingen vaccination;Uge 48-2021_Første vaccination;Uge 48-2021_Anden vaccination;Uge 48-2021_Fuld effekt efter primært forløb;Uge 48-2021_Fuld effekt efter revaccination;Uge 47-2021_Ingen vaccination;Uge 47-2021_Første vaccination;Uge 47-2021_Anden vaccination;Uge 47-2021_Fuld effekt efter primært forløb;Uge 47-2021_Fuld effekt efter revaccination;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld effekt efter primært forløb;Uge 46-2021_Fuld effekt efter revaccination;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld effekt efter primært forløb;Uge 45-2021_Fuld effekt efter revaccination;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld effekt efter primært forløb;Uge 44-2021_Fuld effekt efter revaccination;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld effekt efter primært forløb;Uge 43-2021_Fuld effekt efter revaccination
0-5;15585;251;775;698;0;18197;401;907;710;0;18483;602;809;523;0;20435;770;683;253;0;15071;682;376;20;0;7109;348;52;1;0;4866;257;0;0;0;3127;135;0;0;0;3208;81;0;0;0;2512;9;0;0;0;1723;0;0;0;0;1421;0;0;0;0;1351;1;0;0;0;1017;0;0;0;0;711;0;0;0;0;511;0;0;0;0
6-11;8184;1231;10979;10559;0;13035;2114;14721;13400;0;17230;3625;15342;12495;0;19143;5430;13243;7275;0;12334;4906;6129;1456;0;5211;2836;1068;68;0;4548;3098;308;2;0;3366;2187;31;0;0;7209;2857;0;0;0;8288;1190;0;0;0;7068;132;0;0;0;6154;0;0;0;0;5749;0;0;0;0;4878;0;0;0;0;3457;0;0;0;0;1642;0;0;0;0
12-15;2240;231;15717;15631;26;3684;417;22584;22373;44;4696;664;25979;25638;40;5022;892;24570;24056;28;3316;648;13343;12967;8;1952;403;6114;5975;3;1396;371;4535;4412;2;1005;237;2522;2422;2;1370;308;2055;1991;1;1322;242;796;751;0;1021;176;424;414;0;958;153;357;334;0;1003;164;329;312;0;926;95;240;235;0;641;47;143;141;0;509;19;86;85;0
16-19;1163;136;17672;9955;7699;1188;137;15741;11316;4400;1535;205;18193;13973;4159;1621;221;21168;17904;3166;1339;199;14345;12866;1393;1384;238;13756;13202;470;845;172;7744;7626;64;584;103;5677;5622;18;597;114;4556;4522;9;534;86;1743;1729;1;460;70;966;958;2;403;63;638;633;2;391;53;669;665;2;334;35;439;436;1;234;17;345;344;0;249;11;289;287;0
20-29;6024;625;44628;11938;32605;4918;495;28830;10057;18677;5101;594;25564;12683;12755;5199;624;23367;15013;8177;4093;507;17933;13803;3961;4699;720;24132;21535;2430;3885;662;20397;18914;1305;2242;375;13080;12308;640;2280;371;11149;10633;430;1808;298;4836;4620;176;1476;196;2520;2465;39;1261;153;1921;1870;39;1290;160;1973;1938;24;1120;121;1674;1651;12;900;57;1043;1033;6;880;51;836;829;5
30-39;5136;470;40350;12229;28048;5246;502;38407;14332;23968;5896;639;38603;19161;19301;6024;686;37452;23783;13425;3955;477;24408;18666;5510;3200;464;15020;12994;1917;3060;474;15451;13758;1536;1851;331;9629;8707;818;2026;308;8249;7609;556;1661;248;4318;4039;232;1432;199;2961;2798;130;1221;201;2348;2246;89;1303;157;2341;2261;62;1022;97;1833;1801;26;819;66;1169;1149;10;672;51;864;853;6
40-49;2789;178;40032;4377;35624;3034;195;40499;5330;35135;3495;254;42291;7744;34487;3334;305;38236;10096;28061;2185;193;20812;7969;12772;1712;178;14297;7558;6694;1652;207;15035;11556;3426;1125;145;11267;10284;951;1229;151;10047;9424;574;1071;127;6194;5910;251;921;100;4289;4156;122;761;93;3505;3400;93;807;114;3357;3286;65;680;54;2689;2647;36;493;37;1708;1694;10;413;28;1324;1308;12
50-59;1703;103;36632;1961;34659;1590;102;30654;1991;28651;1713;102;25756;2498;23241;1549;104;20792;3081;17687;1110;90;12948;2902;10026;973;84;11186;3986;7173;1099;114;14493;9839;4622;603;78;9892;8962;916;641;56;8203;7749;443;524;58;4909;4721;179;458;40;3386;3286;97;379;36;2745;2664;75;387;39;2527;2459;63;336;16;2015;1985;27;225;20;1421;1399;19;207;9;1144;1133;10
60-64;479;19;14220;442;13770;389;25;11175;433;10734;376;18;8316;460;7853;312;20;6070;543;5527;257;19;3775;569;3203;210;25;3178;831;2341;268;19;4735;2608;2123;138;10;2836;2401;432;147;12;2452;2260;187;127;9;1605;1528;73;95;9;1209;1169;40;104;5;1052;1017;34;104;6;950;921;29;56;3;716;696;20;62;1;569;561;8;47;3;466;459;7
65-69;252;17;10480;185;10293;200;16;7363;172;7187;188;9;5422;196;5224;145;10;3717;218;3493;92;13;2214;208;2005;103;11;1956;336;1619;116;8;3135;1191;1942;73;5;1550;1067;481;61;4;1524;1337;186;57;7;1210;1141;67;53;1;984;947;37;49;4;856;826;30;40;2;822;801;21;34;3;633;621;12;19;2;479;472;7;26;3;404;401;3
