Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.425 (48);  11.259 (52);  21.684
10-19;  23.421 (49);  24.744 (51);  48.165
20-29;  28.922 (50);  29.065 (50);  57.987
30-39;  20.358 (50);  20.268 (50);  40.626
40-49;  22.398 (52);  20.309 (48);  42.707
50-59;  20.405 (51);  19.879 (49);  40.284
60-69;  10.178 (48);  10.875 (52);  21.053
70-79;   5.980 (49);   6.149 (51);  12.129
80-89;   3.496 (58);   2.563 (42);   6.059
90+;   1.323 (70);     557 (30);   1.880
I alt; 146.906 (50); 145.668 (50); 292.574
