Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   2.735 (49);   2.875 (51);   5.610
10-19;   8.223 (48);   8.881 (52);  17.104
20-29;   9.802 (50);   9.743 (50);  19.545
30-39;   6.837 (50);   6.743 (50);  13.580
40-49;   7.916 (52);   7.249 (48);  15.165
50-59;   7.390 (51);   7.155 (49);  14.545
60-69;   3.598 (48);   3.936 (52);   7.534
70-79;   2.253 (49);   2.356 (51);   4.609
80-89;   1.216 (56);     953 (44);   2.169
90+;     441 (70);     187 (30);     628
I alt;  50.411 (50);  50.078 (50); 100.489
