"Vaccinedato","Regionsnavn","Kumulerede antal færdigvacc.","Antal borgere","Vaccinations dækning (%)"
2021-01-15,Hovedstaden,5,1855747,0.00
2021-01-16,Hovedstaden,5,1855747,0.00
2021-01-17,Hovedstaden,41,1855747,0.00
2021-01-18,Hovedstaden,173,1855747,0.01
2021-01-19,Hovedstaden,339,1855747,0.02
2021-01-20,Hovedstaden,464,1855747,0.03
2021-01-21,Hovedstaden,576,1855747,0.03
2021-01-22,Hovedstaden,648,1855747,0.03
2021-01-23,Hovedstaden,4840,1855747,0.26
2021-01-24,Hovedstaden,8895,1855747,0.48
2021-01-25,Hovedstaden,9144,1855747,0.49
2021-01-26,Hovedstaden,9281,1855747,0.50
2021-01-27,Hovedstaden,9903,1855747,0.53
2021-01-28,Hovedstaden,13680,1855747,0.74
2021-01-29,Hovedstaden,21316,1855747,1.15
2021-01-30,Hovedstaden,25998,1855747,1.40
2021-01-31,Hovedstaden,28663,1855747,1.54
2021-02-01,Hovedstaden,30545,1855747,1.65
2021-02-02,Hovedstaden,30647,1855747,1.65
2021-02-03,Hovedstaden,33652,1855747,1.81
2021-02-04,Hovedstaden,40177,1855747,2.17
2021-02-05,Hovedstaden,45103,1855747,2.43
2021-02-06,Hovedstaden,48124,1855747,2.59
2021-02-07,Hovedstaden,48689,1855747,2.62
2021-02-08,Hovedstaden,49819,1855747,2.68
2021-02-09,Hovedstaden,49840,1855747,2.69
2021-02-10,Hovedstaden,50779,1855747,2.74
2021-02-11,Hovedstaden,51012,1855747,2.75
2021-02-12,Hovedstaden,55172,1855747,2.97
2021-02-13,Hovedstaden,55176,1855747,2.97
2021-02-14,Hovedstaden,55186,1855747,2.97
2021-02-15,Hovedstaden,56558,1855747,3.05
2021-02-16,Hovedstaden,56953,1855747,3.07
2021-02-17,Hovedstaden,56975,1855747,3.07
2021-02-18,Hovedstaden,57041,1855747,3.07
2021-02-19,Hovedstaden,57086,1855747,3.08
2021-02-20,Hovedstaden,57183,1855747,3.08
2021-02-21,Hovedstaden,57277,1855747,3.09
2021-02-22,Hovedstaden,57413,1855747,3.09
2021-02-23,Hovedstaden,57551,1855747,3.10
2021-02-24,Hovedstaden,57609,1855747,3.10
2021-02-25,Hovedstaden,57635,1855747,3.11
2021-02-26,Hovedstaden,57692,1855747,3.11
2021-02-27,Hovedstaden,58818,1855747,3.17
2021-02-28,Hovedstaden,59971,1855747,3.23
2021-03-01,Hovedstaden,60194,1855747,3.24
2021-03-02,Hovedstaden,60437,1855747,3.26
2021-03-03,Hovedstaden,60470,1855747,3.26
2021-03-04,Hovedstaden,60659,1855747,3.27
2021-03-05,Hovedstaden,60913,1855747,3.28
2021-03-06,Hovedstaden,61004,1855747,3.29
2021-03-07,Hovedstaden,61322,1855747,3.30
2021-03-08,Hovedstaden,61549,1855747,3.32
2021-03-09,Hovedstaden,62843,1855747,3.39
2021-03-10,Hovedstaden,62860,1855747,3.39
2021-01-15,Midtjylland,0,1332861,0.00
2021-01-16,Midtjylland,7,1332861,0.00
2021-01-17,Midtjylland,7,1332861,0.00
2021-01-18,Midtjylland,169,1332861,0.01
2021-01-19,Midtjylland,178,1332861,0.01
2021-01-20,Midtjylland,276,1332861,0.02
2021-01-21,Midtjylland,852,1332861,0.06
2021-01-22,Midtjylland,2038,1332861,0.15
2021-01-23,Midtjylland,3119,1332861,0.23
2021-01-24,Midtjylland,4455,1332861,0.33
2021-01-25,Midtjylland,4623,1332861,0.35
2021-01-26,Midtjylland,4668,1332861,0.35
2021-01-27,Midtjylland,5775,1332861,0.43
2021-01-28,Midtjylland,7543,1332861,0.57
2021-01-29,Midtjylland,11377,1332861,0.85
2021-01-30,Midtjylland,14012,1332861,1.05
2021-01-31,Midtjylland,20246,1332861,1.52
2021-02-01,Midtjylland,21753,1332861,1.63
2021-02-02,Midtjylland,22760,1332861,1.71
2021-02-03,Midtjylland,24152,1332861,1.81
2021-02-04,Midtjylland,25946,1332861,1.95
2021-02-05,Midtjylland,28361,1332861,2.13
2021-02-06,Midtjylland,28844,1332861,2.16
2021-02-07,Midtjylland,28918,1332861,2.17
2021-02-08,Midtjylland,31600,1332861,2.37
2021-02-09,Midtjylland,34240,1332861,2.57
2021-02-10,Midtjylland,36130,1332861,2.71
2021-02-11,Midtjylland,37729,1332861,2.83
2021-02-12,Midtjylland,38740,1332861,2.91
2021-02-13,Midtjylland,38776,1332861,2.91
2021-02-14,Midtjylland,38803,1332861,2.91
