Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.617 (49);   1.692 (51);   3.309
10-19;   4.692 (48);   5.003 (52);   9.695
20-29;   6.261 (51);   6.116 (49);  12.377
30-39;   4.430 (51);   4.298 (49);   8.728
40-49;   5.040 (52);   4.627 (48);   9.667
50-59;   4.832 (51);   4.594 (49);   9.426
60-69;   2.384 (48);   2.613 (52);   4.997
70-79;   1.476 (47);   1.651 (53);   3.127
80-89;     869 (56);     688 (44);   1.557
90+;     322 (72);     126 (28);     448
I alt;  31.923 (50);  31.408 (50);  63.331
