Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.448 (48);  11.277 (52);  21.725
10-19;  23.456 (49);  24.785 (51);  48.241
20-29;  29.007 (50);  29.165 (50);  58.172
30-39;  20.402 (50);  20.321 (50);  40.723
40-49;  22.424 (52);  20.354 (48);  42.778
50-59;  20.419 (51);  19.900 (49);  40.319
60-69;  10.180 (48);  10.881 (52);  21.061
70-79;   5.982 (49);   6.152 (51);  12.134
80-89;   3.496 (58);   2.565 (42);   6.061
90+;   1.323 (70);     557 (30);   1.880
I alt; 147.137 (50); 145.957 (50); 293.094
