Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.444 (49);   1.503 (51);   2.947
10-19;   4.239 (49);   4.474 (51);   8.713
20-29;   5.751 (51);   5.572 (49);  11.323
30-39;   4.079 (51);   3.932 (49);   8.011
40-49;   4.636 (52);   4.242 (48);   8.878
50-59;   4.440 (51);   4.202 (49);   8.642
60-69;   2.190 (48);   2.416 (52);   4.606
70-79;   1.389 (47);   1.547 (53);   2.936
80-89;     824 (56);     651 (44);   1.475
90+;     302 (72);     119 (28);     421
I alt;  29.294 (51);  28.658 (49);  57.952
