Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 52-2021;1088909;248517;4538850;3151243;1347909;955932;219671;4230013;2902993;1294591;21922;5415;91976;70584;20480;114078;37063;762267;525650;230736;100360;33363;709342;486617;217967;141213;45826;936405;640410;288803;2454;233;4378;3657;668;356;42;738;457;275
Uge 51-2021;1120241;236376;4520221;3463159;1013327;995471;209289;4229920;3219251;975726;14237;3618;58513;52364;5692;148266;49524;865491;660365;197551;134003;45025;806672;614267;186495;177517;58548;1033052;781468;242660;1027;122;2397;2156;206;315;27;490;356;125
Uge 50-2021;1202421;177300;4498094;3636751;819218;1081507;154435;4226867;3403882;788837;18897;4265;50034;46517;3191;219367;46584;920520;746023;166484;200736;41836;861067;697555;157094;292539;64246;1167002;939665;217080;747;89;1777;1645;102;282;26;472;369;100
Uge 49-2021;1273414;130013;4474834;3817951;625942;1156534;108840;4219872;3592777;601384;18011;2277;27347;25801;1352;233873;26499;844985;709972;129885;215166;22855;794458;667639;122540;316345;35697;1052030;879427;166057;344;41;431;391;39;241;17;412;349;62
Uge 48-2021;1313210;109728;4456227;3944348;490284;1198994;89731;4212311;3724402;469979;14774;929;18525;17760;686;227406;18467;786203;681846;101253;209028;15193;740998;643074;95346;303429;23681;949362;819863;125674;230;22;125;113;11;222;16;375;320;53
Uge 47-2021;1332367;102272;4444952;4026768;398226;1219539;83928;4209425;3811215;381674;12803;715;15303;14773;459;224858;16757;764631;679587;82190;207418;13917;722459;642660;77384;293122;20841;916647;811627;101556;208;12;100;94;6;220;14;329;302;27
Uge 46-2021;1355547;89097;4435213;4093092;325196;1241318;73843;4205795;3879833;311935;12513;698;14743;14288;396;218363;14313;712639;648663;61718;201377;12109;674278;614051;58303;283252;17624;853591;775286;75534;201;7;84;80;3;210;8;330;298;32
Uge 45-2021;1381461;72565;4426183;4165942;244589;1265138;60167;4200736;3953011;234731;10457;434;11709;11481;195;203420;10541;670046;626535;41467;187901;9082;634355;593463;39137;259882;12718;797342;745134;49708;174;7;61;60;1;145;15;291;269;22
Uge 44-2021;1392712;68177;4419604;4242370;160769;1276661;56358;4197078;4028979;154345;7603;250;8019;7886;108;149975;7104;527631;505752;20074;139282;6124;499678;479289;18855;193464;8559;629949;604214;23531;130;5;39;36;3;160;9;206;192;11
Uge 43-2021;1401365;67867;4412163;4278741;115497;1285531;56068;4192214;4066563;110579;5195;177;6427;6346;66;106576;5874;433162;419994;11618;98498;5095;410413;398252;10823;127232;6821;495057;480046;13204;107;3;39;38;1;113;3;182;167;15
Uge 42-2021;1407135;69677;4404908;4297928;85057;1291697;57540;4187219;4087468;81104;3746;141;4718;4658;45;85032;4951;326813;318304;7024;78689;4338;310360;302542;6499;98494;5632;362862;353445;7742;74;1;37;36;1;90;8;143;136;7
Uge 41-2021;1412209;74554;4395361;4300348;67710;1297162;61776;4180036;4092287;64261;2502;82;2396;2371;16;88508;5363;230773;224586;4034;81758;4712;217799;212244;3671;104302;6154;259442;252585;4423;37;1;14;12;2;73;3;84;75;8
Uge 40-2021;1417741;80820;4383895;4302844;42225;1303666;67351;4171513;4097778;40079;2216;91;1691;1672;6;62109;3881;169444;165682;2062;57663;3483;160279;156900;1887;73027;4444;189800;185624;2248;32;0;18;14;2;53;2;54;54;0
Uge 39-2021;1423936;91833;4367816;4300261;12605;1311709;77139;4159389;4099240;12030;1715;90;1174;1155;5;54253;3762;157587;155043;525;50369;3350;149328;147050;491;63774;4303;175251;172394;576;25;0;9;8;0;38;4;42;42;0
Uge 38-2021;1431736;110247;4341841;4267012;915;1322396;93816;4138552;4072006;862;1433;77;966;953;0;54943;4758;155757;153105;48;51320;4297;147732;145341;43;63863;5398;171190;168178;53;16;0;6;6;0;32;2;54;54;0
Uge 01-2022;1066643;223948;4584197;2349236;2173492;923675;194549;4252790;2123149;2075217;26721;5316;94541;66760;26149;136846;37843;833372;443039;378806;117834;33458;771078;403345;357458;175659;48503;1068945;563761;490332;3757;356;5890;4765;1045;346;38;720;392;322
