Aldersgruppe;Uge 52-2021_Ingen vaccination;Uge 52-2021_Første vaccination;Uge 52-2021_Anden vaccination;Uge 52-2021_Fuld effekt efter primært forløb;Uge 52-2021_Fuld effekt efter revaccination;Uge 51-2021_Ingen vaccination;Uge 51-2021_Første vaccination;Uge 51-2021_Anden vaccination;Uge 51-2021_Fuld effekt efter primært forløb;Uge 51-2021_Fuld effekt efter revaccination;Uge 50-2021_Ingen vaccination;Uge 50-2021_Første vaccination;Uge 50-2021_Anden vaccination;Uge 50-2021_Fuld effekt efter primært forløb;Uge 50-2021_Fuld effekt efter revaccination;Uge 49-2021_Ingen vaccination;Uge 49-2021_Første vaccination;Uge 49-2021_Anden vaccination;Uge 49-2021_Fuld effekt efter primært forløb;Uge 49-2021_Fuld effekt efter revaccination;Uge 48-2021_Ingen vaccination;Uge 48-2021_Første vaccination;Uge 48-2021_Anden vaccination;Uge 48-2021_Fuld effekt efter primært forløb;Uge 48-2021_Fuld effekt efter revaccination;Uge 47-2021_Ingen vaccination;Uge 47-2021_Første vaccination;Uge 47-2021_Anden vaccination;Uge 47-2021_Fuld effekt efter primært forløb;Uge 47-2021_Fuld effekt efter revaccination;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld effekt efter primært forløb;Uge 46-2021_Fuld effekt efter revaccination;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld effekt efter primært forløb;Uge 45-2021_Fuld effekt efter revaccination;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld effekt efter primært forløb;Uge 44-2021_Fuld effekt efter revaccination;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld effekt efter primært forløb;Uge 43-2021_Fuld effekt efter revaccination;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld effekt efter primært forløb;Uge 42-2021_Fuld effekt efter revaccination;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld effekt efter primært forløb;Uge 41-2021_Fuld effekt efter revaccination;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld effekt efter primært forløb;Uge 40-2021_Fuld effekt efter revaccination;Uge 39-2021_Ingen vaccination;Uge 39-2021_Første vaccination;Uge 39-2021_Anden vaccination;Uge 39-2021_Fuld effekt efter primært forløb;Uge 39-2021_Fuld effekt efter revaccination;Uge 38-2021_Ingen vaccination;Uge 38-2021_Første vaccination;Uge 38-2021_Anden vaccination;Uge 38-2021_Fuld effekt efter primært forløb;Uge 38-2021_Fuld effekt efter revaccination;Uge 01-2022_Ingen vaccination;Uge 01-2022_Første vaccination;Uge 01-2022_Anden vaccination;Uge 01-2022_Fuld effekt efter primært forløb;Uge 01-2022_Fuld effekt efter revaccination
0-5;88;1;0;0;0;44;0;0;0;0;37;0;0;0;0;26;0;0;0;0;24;0;0;0;0;20;0;0;0;0;22;0;0;0;0;10;0;0;0;0;12;0;0;0;0;4;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;79;0;0;0;0
6-11;12;4;0;0;0;9;2;0;0;0;19;4;0;0;0;17;1;0;0;0;10;0;0;0;0;9;0;0;0;0;15;0;0;0;0;6;0;0;0;0;8;0;0;0;0;2;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;16;4;0;0;0
12-15;3;1;4;4;0;4;1;3;3;0;7;3;7;7;0;1;1;0;0;0;4;1;1;1;0;2;0;1;1;0;2;0;0;0;0;3;0;0;0;0;3;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;5;5;11;11;0
16-19;0;2;17;16;1;3;1;11;11;0;4;0;12;12;0;2;0;4;4;0;5;0;3;3;0;1;0;3;3;0;2;0;0;0;0;2;0;3;3;0;0;0;1;1;0;1;0;3;3;0;3;0;1;1;0;1;0;1;1;0;2;0;1;1;0;0;1;0;0;0;1;0;0;0;0;5;1;28;25;3
20-29;54;6;72;64;7;32;7;37;34;1;32;2;35;29;5;29;2;24;21;2;32;2;14;13;1;26;2;11;11;0;30;0;9;8;1;21;1;5;5;0;23;2;6;6;0;18;0;5;5;0;18;1;1;1;0;8;0;1;1;0;10;0;4;4;0;9;1;1;1;0;3;0;3;3;0;51;7;87;70;14
30-39;59;9;90;74;11;46;7;58;46;8;57;6;46;43;2;54;3;25;24;1;43;6;17;11;5;49;3;23;22;1;33;1;14;14;0;30;1;9;9;0;36;0;9;7;1;23;1;9;8;1;17;4;7;7;0;18;0;4;3;0;13;0;1;1;0;5;1;2;2;0;6;1;0;0;0;53;4;78;68;10
40-49;41;6;76;61;15;51;4;46;37;9;45;0;47;40;7;27;4;44;41;3;34;2;27;23;3;35;4;22;21;1;29;2;20;17;3;23;4;19;19;0;24;2;10;10;0;18;1;14;13;1;16;1;11;11;0;14;0;8;7;1;9;0;3;3;0;6;0;1;1;0;4;0;1;1;0;21;2;86;67;19
50-59;35;3;101;78;23;44;0;73;61;12;33;6;54;46;8;29;2;55;49;6;24;1;42;35;7;24;1;31;28;3;32;2;33;31;2;17;3;28;24;4;24;1;23;21;1;14;0;16;14;2;9;0;10;10;0;11;1;9;7;2;8;1;4;4;0;7;0;4;4;0;5;0;3;3;0;34;2;81;50;30
60-64;14;1;50;33;17;15;1;39;34;5;13;1;36;32;4;15;1;27;25;2;10;1;33;31;2;12;1;26;21;5;8;0;24;19;5;9;1;14;13;1;6;1;18;17;1;9;0;10;9;1;6;0;6;5;1;4;0;2;2;0;2;0;2;2;0;2;0;3;3;0;2;0;4;4;0;17;3;47;17;30
65-69;12;3;51;30;21;15;0;38;29;9;5;0;44;36;8;6;1;37;32;5;10;1;26;22;4;10;0;20;19;1;7;1;28;25;3;6;1;28;26;2;6;1;15;14;1;4;0;16;15;1;1;0;13;12;1;2;1;8;8;0;1;0;7;7;0;3;0;4;4;0;2;1;2;2;0;11;3;45;24;21
