Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.978 (49);   2.076 (51);   4.054
10-19;   5.762 (48);   6.251 (52);  12.013
20-29;   7.322 (50);   7.257 (50);  14.579
30-39;   5.197 (50);   5.153 (50);  10.350
40-49;   5.976 (52);   5.474 (48);  11.450
50-59;   5.655 (51);   5.483 (49);  11.138
60-69;   2.796 (47);   3.095 (53);   5.891
70-79;   1.739 (48);   1.894 (52);   3.633
80-89;     987 (56);     791 (44);   1.778
90+;     360 (71);     149 (29);     509
I alt;  37.772 (50);  37.623 (50);  75.395
