Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.855 (48);  14.754 (52);  28.609
10-19;  30.078 (49);  31.220 (51);  61.298
20-29;  37.429 (49);  39.260 (51);  76.689
30-39;  25.056 (50);  25.048 (50);  50.104
40-49;  25.861 (53);  23.251 (47);  49.112
50-59;  22.306 (51);  21.721 (49);  44.027
60-69;  11.000 (48);  11.691 (52);  22.691
70-79;   6.458 (49);   6.633 (51);  13.091
80-89;   3.710 (57);   2.749 (43);   6.459
90+;   1.402 (71);     586 (29);   1.988
I alt; 177.155 (50); 176.913 (50); 354.068
