Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 04-2022;1032681;113534;4729874;1493057;3176963;850649;84804;4246549;1233771;2964713;58919;6733;214870;95638;115386;158518;18783;877703;283482;578908;136153;15713;811383;254166;543628;193467;22870;1105109;349539;736254;7002;480;10106;5574;4372;519;35;1283;485;781
Uge 03-2022;1038520;131514;4706826;1692070;2905567;868458;102725;4286991;1449616;2742673;62967;9075;194925;102489;84918;192341;28828;976863;367724;574310;166268;24851;903204;331608;539958;246698;37325;1277085;472917;757166;7905;500;9692;6143;3318;518;44;1016;456;546
Uge 02-2022;1048497;164831;4664021;1950014;2600294;893667;136884;4297857;1725643;2470919;43902;7754;119876;71652;42245;168859;33234;846660;363994;453565;147479;29552;784256;330568;426936;218851;43081;1096564;465519;592757;5265;360;6199;4352;1693;438;49;811;392;412
Uge 01-2022;1067195;224173;4586813;2350505;2174803;924371;194747;4255323;2124388;2076482;26717;5328;94613;66787;26194;137019;37921;834180;443399;379238;117985;33531;771857;403699;357868;175995;48617;1070424;564290;491257;3759;356;5892;4764;1047;346;38;736;403;326
Uge 52-2021;1089312;248740;4541579;3153384;1348455;956461;219874;4232652;2905071;1295125;21918;5413;91997;70596;20488;113861;37060;762516;525826;230801;100153;33359;709578;486786;218030;140975;45827;936673;640586;288889;2454;233;4379;3657;669;356;44;743;461;276
Uge 51-2021;1120809;236511;4522965;3465536;1013646;996136;209410;4232590;3221565;976042;14223;3622;58528;52379;5692;148050;49561;865669;660520;197570;133799;45058;806845;614415;186517;177291;58592;1033238;781629;242681;1027;122;2398;2157;206;316;28;490;357;124
Uge 50-2021;1203151;177386;4500868;3639248;819458;1082314;154518;4229573;3406325;789072;18875;4271;50053;46535;3191;219067;46591;920811;746282;166509;200444;41845;861347;697805;157118;292192;64272;1167326;939948;217110;747;89;1777;1645;102;282;26;474;369;102
Uge 49-2021;1274190;130095;4477612;3820511;626139;1157383;108918;4222587;3595283;601578;17997;2281;27357;25810;1353;233688;26495;845169;710132;129906;214988;22849;794637;667794;122562;316125;35696;1052244;879614;166081;344;41;431;391;39;241;17;413;351;61
Uge 48-2021;1314042;109814;4458999;3946949;490444;1199890;89811;4215028;3726951;470136;14771;929;18533;17768;686;227259;18467;786344;681978;101264;208886;15192;741138;643204;95358;303259;23676;949527;820015;125689;230;22;125;113;11;223;16;375;320;53
Uge 47-2021;1333217;102359;4447730;4029394;398356;1220447;84010;4212153;3813792;381803;12795;714;15308;14778;459;224717;16755;764761;679704;82205;207281;13914;722590;642778;77398;292969;20840;916787;811753;101572;208;12;100;94;6;220;14;330;303;27
Uge 46-2021;1356431;89181;4437984;4095731;325305;1242259;73922;4208519;3882424;312044;12508;700;14747;14292;396;218235;14320;712749;648771;61720;201253;12116;674386;614157;58305;283118;17632;853710;775405;75535;201;7;84;80;3;211;8;330;297;33
Uge 45-2021;1382363;72648;4428953;4168604;244679;1266096;60247;4203458;3955626;234821;10456;433;11712;11483;196;203304;10538;670154;626634;41476;187787;9080;634464;593563;39146;259755;12714;797462;745245;49717;174;7;61;60;1;145;15;291;269;22
Uge 44-2021;1393628;68269;4422360;4245023;160853;1277631;56448;4199786;4031585;154428;7599;250;8023;7890;108;149865;7101;527737;505852;20081;139174;6121;499785;479391;18861;193337;8553;630076;604334;23539;130;5;39;36;3;160;9;206;192;11
Uge 43-2021;1402314;67956;4414923;4281402;115570;1286532;56154;4194930;4069179;110652;5191;178;6432;6351;66;106492;5873;433242;420071;11619;98417;5094;410492;398328;10824;127137;6821;495149;480133;13205;107;3;39;38;1;113;3;182;167;15
Uge 42-2021;1408101;69774;4407657;4300581;85129;1292714;57636;4189923;4090077;81175;3744;141;4719;4659;45;84992;4954;326847;318333;7027;78649;4340;310399;302576;6502;98446;5636;362901;353479;7745;74;1;37;36;1;90;8;143;136;7
Uge 41-2021;1413212;74645;4398107;4303000;67774;1298216;61865;4182738;4094895;64324;2501;82;2397;2372;16;88449;5363;230823;224634;4035;81700;4712;217852;212295;3672;104243;6151;259495;252636;4424;37;1;14;12;2;73;3;84;75;8
