Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.827 (48);  10.672 (52);  20.499
10-19;  21.634 (49);  22.761 (51);  44.395
20-29;  26.626 (50);  26.225 (50);  52.851
30-39;  19.271 (50);  18.969 (50);  38.240
40-49;  21.213 (53);  19.078 (47);  40.291
50-59;  19.579 (51);  18.925 (49);  38.504
60-69;   9.936 (48);  10.594 (52);  20.530
70-79;   5.931 (49);   6.090 (51);  12.021
80-89;   3.473 (58);   2.537 (42);   6.010
90+;   1.315 (70);     551 (30);   1.866
I alt; 138.805 (50); 136.402 (50); 275.207
