Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.054 (48);  10.912 (52);  20.966
10-19;  22.291 (49);  23.554 (51);  45.845
20-29;  27.493 (50);  27.347 (50);  54.840
30-39;  19.688 (50);  19.451 (50);  39.139
40-49;  21.701 (53);  19.595 (47);  41.296
50-59;  19.953 (51);  19.359 (49);  39.312
60-69;  10.039 (48);  10.736 (52);  20.775
70-79;   5.949 (49);   6.113 (51);  12.062
80-89;   3.481 (58);   2.549 (42);   6.030
90+;   1.318 (70);     552 (30);   1.870
I alt; 141.967 (50); 140.168 (50); 282.135
