Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.422 (48);  11.255 (52);  21.677
10-19;  23.400 (49);  24.728 (51);  48.128
20-29;  28.887 (50);  29.025 (50);  57.912
30-39;  20.340 (50);  20.230 (50);  40.570
40-49;  22.385 (52);  20.300 (48);  42.685
50-59;  20.395 (51);  19.872 (49);  40.267
60-69;  10.175 (48);  10.872 (52);  21.047
70-79;   5.979 (49);   6.148 (51);  12.127
80-89;   3.496 (58);   2.563 (42);   6.059
90+;   1.323 (70);     557 (30);   1.880
I alt; 146.802 (50); 145.550 (50); 292.352
