Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   8.926 (48);   9.642 (52);  18.568
10-19;  18.962 (49);  20.012 (51);  38.974
20-29;  23.841 (51);  22.951 (49);  46.792
30-39;  17.643 (51);  17.056 (49);  34.699
40-49;  19.392 (53);  17.264 (47);  36.656
50-59;  18.159 (51);  17.335 (49);  35.494
60-69;   9.303 (49);   9.854 (51);  19.157
70-79;   5.746 (49);   5.896 (51);  11.642
80-89;   3.435 (58);   2.515 (42);   5.950
90+;   1.308 (71);     545 (29);   1.853
I alt; 126.715 (51); 123.070 (49); 249.785
