Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.778 (49);   1.859 (51);   3.637
10-19;   5.118 (48);   5.520 (52);  10.638
20-29;   6.713 (50);   6.632 (50);  13.345
30-39;   4.759 (51);   4.639 (49);   9.398
40-49;   5.423 (52);   4.996 (48);  10.419
50-59;   5.176 (51);   4.960 (49);  10.136
60-69;   2.571 (48);   2.810 (52);   5.381
70-79;   1.575 (48);   1.740 (52);   3.315
80-89;     903 (55);     725 (45);   1.628
90+;     333 (72);     132 (28);     465
I alt;  34.349 (50);  34.013 (50);  68.362
