Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   5.889 (48);   6.377 (52);  12.266
10-19;  14.622 (49);  15.296 (51);  29.918
20-29;  18.651 (52);  17.548 (48);  36.199
30-39;  13.298 (52);  12.507 (48);  25.805
40-49;  15.044 (54);  12.860 (46);  27.904
50-59;  14.376 (52);  13.181 (48);  27.557
60-69;   7.350 (49);   7.621 (51);  14.971
70-79;   4.652 (49);   4.775 (51);   9.427
80-89;   2.888 (58);   2.097 (42);   4.985
90+;   1.131 (71);     456 (29);   1.587
I alt;  97.901 (51);  92.718 (49); 190.619
