Aldersgruppe;Uge 12-2022_Ingen vaccination;Uge 12-2022_Første vaccination;Uge 12-2022_Anden vaccination;Uge 12-2022_Fuld effekt efter primært forløb;Uge 12-2022_Fuld effekt efter revaccination;Uge 11-2022_Ingen vaccination;Uge 11-2022_Første vaccination;Uge 11-2022_Anden vaccination;Uge 11-2022_Fuld effekt efter primært forløb;Uge 11-2022_Fuld effekt efter revaccination;Uge 10-2022_Ingen vaccination;Uge 10-2022_Første vaccination;Uge 10-2022_Anden vaccination;Uge 10-2022_Fuld effekt efter primært forløb;Uge 10-2022_Fuld effekt efter revaccination;Uge 09-2022_Ingen vaccination;Uge 09-2022_Første vaccination;Uge 09-2022_Anden vaccination;Uge 09-2022_Fuld effekt efter primært forløb;Uge 09-2022_Fuld effekt efter revaccination;Uge 08-2022_Ingen vaccination;Uge 08-2022_Første vaccination;Uge 08-2022_Anden vaccination;Uge 08-2022_Fuld effekt efter primært forløb;Uge 08-2022_Fuld effekt efter revaccination;Uge 07-2022_Ingen vaccination;Uge 07-2022_Første vaccination;Uge 07-2022_Anden vaccination;Uge 07-2022_Fuld effekt efter primært forløb;Uge 07-2022_Fuld effekt efter revaccination;Uge 06-2022_Ingen vaccination;Uge 06-2022_Første vaccination;Uge 06-2022_Anden vaccination;Uge 06-2022_Fuld effekt efter primært forløb;Uge 06-2022_Fuld effekt efter revaccination;Uge 05-2022_Ingen vaccination;Uge 05-2022_Første vaccination;Uge 05-2022_Anden vaccination;Uge 05-2022_Fuld effekt efter primært forløb;Uge 05-2022_Fuld effekt efter revaccination;Uge 04-2022_Ingen vaccination;Uge 04-2022_Første vaccination;Uge 04-2022_Anden vaccination;Uge 04-2022_Fuld effekt efter primært forløb;Uge 04-2022_Fuld effekt efter revaccination;Uge 03-2022_Ingen vaccination;Uge 03-2022_Første vaccination;Uge 03-2022_Anden vaccination;Uge 03-2022_Fuld effekt efter primært forløb;Uge 03-2022_Fuld effekt efter revaccination;Uge 02-2022_Ingen vaccination;Uge 02-2022_Første vaccination;Uge 02-2022_Anden vaccination;Uge 02-2022_Fuld effekt efter primært forløb;Uge 02-2022_Fuld effekt efter revaccination;Uge 01-2022_Ingen vaccination;Uge 01-2022_Første vaccination;Uge 01-2022_Anden vaccination;Uge 01-2022_Fuld effekt efter primært forløb;Uge 01-2022_Fuld effekt efter revaccination;Uge 52-2021_Ingen vaccination;Uge 52-2021_Første vaccination;Uge 52-2021_Anden vaccination;Uge 52-2021_Fuld effekt efter primært forløb;Uge 52-2021_Fuld effekt efter revaccination;Uge 51-2021_Ingen vaccination;Uge 51-2021_Første vaccination;Uge 51-2021_Anden vaccination;Uge 51-2021_Fuld effekt efter primært forløb;Uge 51-2021_Fuld effekt efter revaccination;Uge 50-2021_Ingen vaccination;Uge 50-2021_Første vaccination;Uge 50-2021_Anden vaccination;Uge 50-2021_Fuld effekt efter primært forløb;Uge 50-2021_Fuld effekt efter revaccination;Uge 49-2021_Ingen vaccination;Uge 49-2021_Første vaccination;Uge 49-2021_Anden vaccination;Uge 49-2021_Fuld effekt efter primært forløb;Uge 49-2021_Fuld effekt efter revaccination
0-5;12,7;0;0;0;0;17,6;0;0;0;0;24,2;0;0;0;0;41,5;0;0;0;0;48,8;30,1;0;0;0;78,9;0;28,1;29,5;0;79,7;19,9;0;0;0;66;34,9;18,9;12,3;0;58,7;14,4;10,3;18,4;0;61,1;34,6;0;0;0;41,3;26,7;0;0;0;23,1;0;0;0;0;25,1;7,9;0;0;0;12,7;0;0;0;0;10,2;0;0;0;0;7,1;0;0;0;0
6-11;4,4;0;0;0;0;6,1;0;0;0;0;3,4;0;12,9;12,9;0;7;19,2;9,7;9,8;0;6,7;6,9;9,3;9,3;0;12;0;7,5;7,6;0;25,1;15,8;16;15,1;0;33;27,1;12,1;10,9;0;32,7;19;10,9;7,8;0;31,5;12,3;6,4;7;0;17,4;15;2,4;0;0;9,4;3,4;2,9;0;0;6,8;2,9;0;0;0;4,5;1,6;0;0;0;7,3;5,6;0;0;0;5,4;4,6;0;0;0
12-15;0;0;10,8;9,5;219,8;7,3;0;11;11;0;24,6;0;15,1;15,2;0;15;0;10,6;10,7;0;20,1;0;16,8;15,5;170,9;3,4;26;12,7;12,2;165;36,8;0;28,7;28,9;0;46,4;38,8;21,5;19,6;750,5;33,6;32,9;24,1;24,1;0;46,2;0;14,7;14,7;0;31,1;33,8;6,1;6,3;0;12,2;43,1;5,7;5,9;0;7;7,4;2,6;2,7;0;8,8;7,1;1,6;1,7;0;14;20,2;3,8;4;0;1,9;6,1;0;0;0
16-19;29,4;0;4,6;5;4,2;9,2;0;16,5;22;11,6;16,6;0;11,3;12,5;10,1;15,1;64,9;16,8;19,4;14;20,2;0;16,7;14,9;18,9;30,3;149,1;17,6;20,4;13,8;44,8;43,8;21,8;24,6;17,7;57;38,6;29,9;36,7;18,2;74,8;34,7;20,6;24,1;11,3;48,2;31,6;22;23,2;16,4;41,7;54,6;14,5;14,1;18,2;22,3;23,2;14;13,4;51,7;0;40,5;7,9;7,6;56,3;12,4;18,7;5,1;5,2;0;15,8;0;5,6;5,7;0;7,6;0;1,9;1,9;0
20-29;12;15,6;11,1;18,9;8,3;21,1;43,1;12,9;20,2;10,3;22;38,7;16,6;29,9;11,9;28;23,8;25,6;40,2;19,9;65,1;54,3;30,6;49;23;54,9;99,3;38,1;55,8;30,6;92,5;90,7;37,4;58,4;26,4;71,1;80,8;26,5;37;18,5;59;43;21,4;27,6;12,9;70;83,2;21,7;23,6;14,9;60;44,8;15,3;15,1;15,1;43,8;33,3;16,5;14,8;33,7;45,2;29,7;13,1;12,5;21,1;26,8;27,1;6,9;6,8;3,6;25,1;10,3;6,2;5;20,7;22,7;6,3;4,4;4,1;9,6
30-39;11;0;13,6;15,5;12,9;24;39;20,3;27,4;17,5;25,2;52,4;24,2;34,4;20;49,4;46,9;26,7;33,7;23,8;46,7;137;34,8;54;26,2;81,7;134,3;47,5;72,9;34,8;89,9;99,6;49;72,1;34,7;94,2;60,4;47;55,1;37,9;83,3;72,1;44,6;48,7;37,9;74,8;63,6;35,5;37,1;31,4;61,2;61,5;25,8;24,7;31;53,5;22,6;14,8;14,5;18,9;59,1;39,7;17,1;15,8;22,4;44,1;36;11;10,1;15,4;52,7;26,9;8,4;8,6;2,9;48,1;10,3;4,6;4,8;3,3
40-49;22,9;0;14,5;16,2;14,3;40,7;116,3;21,7;29,6;20,8;37,8;35,9;19,1;33;17,3;44,5;66;23,4;37,4;21,6;60,4;88,8;30,1;69,3;24,6;52,4;107,2;30,1;46,9;27,7;73,5;196,5;32;57,1;28;76,6;22,5;33,3;62,3;27,6;49;61,1;28,8;51;22,6;33,6;56,3;20,3;37;13,3;50;65,9;16,2;22;12,5;35,3;27,9;14,4;21,1;6,6;67,4;86,1;12,8;12,1;17,6;81,7;45,8;7,6;6,9;14,2;69,9;0;7,7;7,3;12,2;40,7;36,6;7,4;7,6;5,9
50-59;49,6;216,8;19,9;32;19,2;41;102,7;21,4;46,7;19,9;47,9;0;22,9;28;22,6;48,5;45,7;28,3;67,1;25,9;54,4;213,8;33,3;51,6;32,1;83,5;79,9;33,2;70,2;30,6;76,1;186,3;36,4;81,8;33;81,5;104,2;28,7;62,4;25,8;72,1;125,9;23,4;56,1;19,6;70,9;116,8;15,2;33,5;12,1;69,4;78,1;15,7;32,8;11,1;77,3;45,7;12,2;19,9;7,4;78,2;61,3;14,7;14,2;17,2;96,3;0;10,1;9,8;12,8;70,4;110,8;8;7,5;11,6;60,4;34,9;7,7;7,6;8,6
60-64;55;461,5;25,3;43,5;24,6;53;295,4;33,9;62;32,9;59,4;0;38,1;68,1;36,9;106,7;137,4;40,5;83,6;38,9;47,7;260,1;45,9;96,8;43,9;147,8;123;52,4;174;47,3;122;0;40,5;152,6;35,5;112,3;521,9;28,6;91,4;25,3;139,2;95;24,6;107,3;18,4;64,9;180,8;12,2;53,8;8,1;56,7;163,7;11,5;32;8,2;118,5;224,6;15;20,7;12,8;103,2;68,1;15,9;15,8;16,2;101,1;66,9;12,3;12,8;9,9;85,6;63,8;11,4;11,7;9,1;96,7;61,8;8,2;9;2,5
65-69;114,2;425,5;28,1;106,5;26;122,2;404;35,7;146,6;32,7;140,6;0;50,2;112,6;48,5;158,8;183,2;57,6;217,7;53,2;114;345,4;56,5;104,2;55,2;224,9;491;59,3;198,6;55,2;91;153,6;47,1;116,3;45;119,7;434,2;33;143,9;29,2;78,6;0;21,8;107,5;18,1;38,9;247,8;17,9;79,6;14,3;124,8;326,4;17,2;71,4;12,5;104;295,6;15,1;50,8;8,4;112;286,5;17,5;22,8;13;137,1;0;12,8;13,2;11,7;44,7;0;15,1;14,6;17,5;52,7;100,6;12,4;12,3;12,5
70-79;113,4;160,3;59,1;143,2;57,5;166,9;310,1;61,7;74,4;61,5;171,6;300,3;73,8;144,1;72,5;200,1;713,3;86,6;209,5;84,2;273,3;416,1;96,8;268,9;93,3;202,5;263,9;89,7;240,1;86,6;215,8;481,9;70;329,6;64,2;191;111,4;53,2;171,2;50,3;130,6;202,4;32,2;144,7;29;100,5;186,4;26,8;112,8;23,5;134,4;0;21,2;120,4;16,6;195,1;227,4;22,8;96,7;17,5;178,9;219;22;50,1;16,9;202,3;150,2;17,6;33,9;10,2;118,2;0;19;28,2;9,6;116,1;0;19,7;22,4;12,2
80+;288;234,2;126,6;277,8;123,2;430,5;224,2;158,4;341;154,2;438;0;172,4;276,4;170;473,3;622,4;190,9;417,5;185,5;608,2;381,7;200,4;625,2;190,1;587,4;356,5;198,7;598,4;188,2;440,5;495,9;163,7;490,4;154,6;392,8;302,1;118;316,7;111,9;240,6;136,8;84;285,4;77,3;236,4;130,4;66;250,2;58,6;297,1;228,6;52,1;168,7;46,5;341,2;543,5;50,1;140,3;43;136,6;427,8;57,7;174,2;42,4;266,3;335,2;32,6;92;18,8;140,1;485,4;31,8;66,1;19,6;194,4;248,8;32,5;66,5;14,1
12+;35,9;59,9;34;24,5;35,5;48,1;78,8;40,3;31,7;41,6;50,2;37,8;44,4;33,3;46,3;60,9;72,5;50,4;41,6;52;74,4;108,5;55,3;50,7;56,1;82,9;117,9;56,2;55,5;56,3;92,6;112;50,6;61,1;47,9;88,5;83,8;40,5;47,7;38,1;72,3;61,4;31,5;41,7;27,2;66,1;70,6;24,4;32,2;20;64,7;60,9;19,3;22,6;17;58,7;49,5;17,4;18,8;15,8;58,3;48,8;17,6;15,8;21,6;57,9;31,3;11,6;11,1;12,8;47,9;25,1;11,2;10,7;13,2;40,6;15,3;9,8;9,7;10,5
Alle;22,8;42,8;33,3;20,8;35,5;30,9;56,2;39,3;26,9;41,6;34,4;26,3;43,6;30;46,3;46,8;53,4;49,2;36,5;52;55,3;71,7;53,8;44,1;56,1;71,3;67,9;54,6;48,5;56,3;77,5;68,7;49,4;54,6;47,9;71,4;58;39,6;43,7;38,1;61;40,2;30,9;39,2;27,2;58,9;41,5;23,9;31,4;20;48,3;34,8;19;22,4;17;37,1;19,2;17,3;18,8;15,8;36,9;19,2;17,6;15,8;21,6;31,5;13,1;11,6;11,1;12,8;25,8;16,5;11,2;10,7;13,2;20,7;13,4;9,8;9,7;10,5
