Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 12-2022;1041497;87308;4754369;1154059;3598010;529586;28016;2884037;438206;2445136;1889;126;31322;3026;28294;14012;1423;146554;21766;124711;7894;653;117449;12538;104879;15220;1525;162358;23764;138509;345;35;1470;388;1082;121;12;959;91;868
Uge 11-2022;1041315;88114;4754467;1160745;3590751;556369;30235;3086654;483727;2602000;2935;189;44975;4839;40130;17767;1834;191038;29123;161822;10369;896;158125;17898;140193;19453;2011;214345;32197;182047;564;59;2065;570;1494;172;17;1213;130;1083
Uge 10-2022;1040859;89041;4754371;1168593;3581485;601745;34187;3340706;559955;2779334;5332;365;70272;9346;60915;24749;2448;272566;43070;229311;16008;1314;233297;28998;204214;27670;2742;313198;48828;264163;969;89;3311;1059;2249;207;9;1456;168;1288
Uge 09-2022;1040598;90491;4753941;1177034;3571571;652369;39292;3558160;641573;2914612;8629;605;95369;14131;81209;29615;2685;327566;49461;277833;21366;1683;289674;36629;252902;33742;3054;384205;57314;326570;1419;106;4319;1469;2840;305;21;1752;234;1517
Uge 08-2022;1040389;92628;4752653;1190606;3553996;713005;47402;3775178;737743;3034009;13327;919;129243;21508;107661;39299;3430;420983;65138;355399;30442;2294;379761;51598;327899;45352;3990;503722;76458;426732;2011;194;6094;2040;4038;394;34;2031;325;1703
Uge 07-2022;1040271;94988;4751023;1211752;3526964;773897;57440;3961645;840017;3115743;25511;1818;198513;41057;157225;62735;5320;572343;102802;468465;51183;3939;523535;86008;436759;74135;6255;699666;123228;575110;3355;275;9198;3451;5715;552;39;2163;407;1754
Uge 06-2022;1040328;99937;4746486;1256064;3468715;814103;66961;4071754;930593;3128500;43870;3511;250012;70890;178320;100983;9169;735014;166491;565309;84514;7154;674651;143649;528543;120023;10802;909580;199754;705884;5496;411;12068;5102;6893;631;46;2013;508;1498
Uge 05-2022;1041227;106460;4740074;1359695;3343344;840740;75807;4167147;1072029;3069483;51728;4613;223477;82378;139108;119721;11725;750636;201822;541978;103235;9599;694532;180007;508697;144657;14133;944932;247446;688866;5615;407;9909;4602;5182;600;44;1650;468;1169
Uge 04-2022;1043517;119897;4725314;1524462;3139118;861613;89446;4243652;1263119;2930948;58905;6924;214770;97401;113456;158820;19384;877539;289414;572549;136443;16215;811288;259827;537639;193938;23588;1105163;356906;728626;7004;500;10089;5616;4309;526;36;1311;495;798
Uge 03-2022;1049083;138833;4701412;1720887;2868943;879135;108359;4283204;1477181;2709332;62944;9310;194713;104001;83109;192232;29667;976144;374092;566872;166174;25564;902606;337669;532976;246565;38360;1276189;481076;747664;7902;525;9665;6171;3258;518;45;1023;464;543
