År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Bekræftede tilfælde blandt beboere med 2. stik;Bekræftede tilfælde blandt beboere med 3. stik;Plejehjem med bekæftede tilfælde;Testede beboere;Plejehjem med testede beboere
2020;11;     7;    0;    0;     0;  6;    118;107
2020;12;    24;    3;    0;     0; 16;    254;190
2020;13;    68;   15;    0;     0; 31;    431;248
2020;14;   143;   35;    0;     0; 43;  1.131;360
2020;15;    85;   37;    0;     0; 34;    704;337
2020;16;    78;   30;    0;     0; 35;    916;343
2020;17;    80;   26;    0;     0; 35;  2.278;457
2020;18;    37;   25;    0;     0; 22;  2.463;482
2020;19;    20;   20;    0;     0; 15;  3.093;492
2020;20;    11;    9;    0;     0;  9;  2.525;476
2020;21;     7;    3;    0;     0;  4;  1.614;483
2020;22;    10;    4;    0;     0;  3;  1.528;429
2020;23;     3;    4;    0;     0;  2;  1.257;453
2020;24;    16;    1;    0;     0;  3;  1.055;439
2020;25;     7;    1;    0;     0;  5;  1.891;489
2020;26;     2;    2;    0;     0;  2;  1.931;504
2020;27;     5;    1;    0;     0;  4;  1.713;506
2020;28;     2;    2;    0;     0;  2;  1.529;481
2020;29;     5;    0;    0;     0;  2;  1.198;501
2020;30;     3;    1;    0;     0;  3;  1.244;482
2020;31;     0;    0;    0;     0;  0;  1.578;502
2020;32;     1;    2;    0;     0;  1;  1.614;546
2020;33;     0;    1;    0;     0;  0;  1.464;553
2020;34;     1;    0;    0;     0;  1;  1.335;545
2020;35;     0;    0;    0;     0;  0;  1.299;495
2020;36;     3;    0;    0;     0;  3;  1.331;535
2020;37;    15;    0;    0;     0;  8;  2.156;563
2020;38;    19;    5;    0;     0;  8;  2.947;571
2020;39;    22;    3;    0;     0; 10;  3.139;566
2020;40;    12;    5;    0;     0;  6;  2.974;572
2020;41;    13;    3;    0;     0; 11;  2.619;547
2020;42;    14;    7;    0;     0;  8;  2.667;522
2020;43;    28;    7;    0;     0; 11;  3.584;558
2020;44;    30;    2;    0;     0; 18;  4.623;567
2020;45;    33;    8;    0;     0; 20;  5.441;576
2020;46;    51;    8;    0;     0; 20;  5.688;567
2020;47;    86;   10;    0;     0; 31;  6.901;603
2020;48;    98;   11;    0;     0; 25;  6.376;591
2020;49;   119;   21;    0;     0; 37;  7.388;644
2020;50;   218;   22;    0;     0; 59;  7.805;610
2020;51;   319;   49;    0;     0;105; 10.142;658
2020;52;   408;   62;    0;     0;118; 10.191;621
2020;53;   472;   87;    0;     0;129; 11.271;617
2021;1;   471;   80;    0;     0;128; 11.966;644
