Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 08-2022;1035495;87033;4757629;1155303;3594463;708017;44201;3777776;709633;3064810;13328;850;129286;20448;108767;39209;3187;421010;62222;358348;30364;2130;379727;48926;330542;45228;3702;503678;73012;430141;2009;176;6115;1988;4111;386;34;2005;320;1682
Uge 07-2022;1035666;89321;4756030;1176656;3567341;769222;53989;3964448;810393;3148327;25510;1669;198660;39232;159204;62752;4956;572686;98497;473137;51199;3660;523787;82004;441030;74153;5844;700054;118044;580705;3357;253;9222;3374;5816;552;37;2156;405;1749
Uge 06-2022;1035682;94137;4751591;1221542;3508831;809403;63229;4074804;900305;3162163;43872;3289;250224;68333;181102;100992;8637;735521;160765;571602;84524;6741;675032;138247;534374;120030;10206;910162;192880;713409;5495;380;12101;5024;7005;628;45;2011;502;1502
Uge 05-2022;1036518;100477;4745306;1326582;3382774;835984;71663;4170565;1041932;3103808;51734;4425;223654;80411;141268;119743;11191;751134;196677;547717;103254;9162;694926;175118;514065;144684;13526;945506;241093;695904;5618;389;9926;4532;5269;601;43;1639;460;1166
Uge 04-2022;1038767;113505;4730914;1493446;3177572;856820;84780;4247555;1234165;2965288;58927;6730;214944;95678;115417;158852;18774;878105;283620;579154;136472;15704;811755;254290;543860;193973;22871;1105829;349763;736724;7004;477;10113;5577;4374;527;35;1307;493;797
Uge 03-2022;1044321;131511;4707918;1692560;2906120;874331;102721;4288048;1450093;2743205;62958;9075;194942;102492;84931;192275;28822;976960;367752;574371;166209;24846;903288;331625;540017;246614;37317;1277205;472944;757245;7905;500;9694;6144;3319;518;44;1021;461;545
Uge 02-2022;1054355;164846;4665130;1950614;2600769;899585;136903;4298932;1726225;2471381;43897;7755;119898;71664;42252;168795;33241;846727;364016;453604;147421;29555;784319;330589;426973;218784;43088;1096643;465533;592812;5265;360;6198;4351;1693;437;49;815;392;416
Uge 01-2022;1073098;224208;4587940;2351263;2175147;930322;194789;4256416;2125121;2076819;26706;5330;94623;66797;26196;136947;37926;834240;443439;379259;117921;33535;771908;403730;357890;175911;48624;1070494;564333;491283;3757;357;5893;4765;1047;347;38;736;403;327
Uge 52-2021;1095329;248796;4542788;3154388;1348645;962509;219934;4233823;2906044;1295312;21906;5411;92018;70612;20492;113798;37059;762613;525905;230817;100089;33357;709666;486857;218046;140903;45827;936780;640679;288901;2452;234;4380;3658;669;357;44;745;463;276
Uge 51-2021;1126865;236568;4524190;3466609;1013777;1002212;209473;4233781;3222611;976170;14219;3623;58530;52381;5692;148022;49561;865717;660573;197565;133768;45060;806886;614462;186511;177259;58589;1033288;781690;242670;1027;122;2398;2157;206;316;28;490;357;124
Uge 50-2021;1209254;177449;4502102;3640355;819565;1088432;154580;4230784;3407414;789176;18871;4271;50062;46544;3192;219006;46590;920874;746340;166514;200382;41844;861407;697861;157122;292117;64273;1167388;940009;217111;747;90;1777;1645;102;282;26;474;369;102
Uge 49-2021;1280314;130166;4478835;3821647;626214;1163519;108987;4223791;3596404;601650;17990;2282;27364;25817;1353;233649;26498;845218;710184;129901;214950;22851;794683;667844;122556;316082;35704;1052293;879664;166078;344;42;430;390;39;241;17;413;351;61
Uge 48-2021;1320230;109883;4460243;3948111;490512;1206087;89880;4216253;3728097;470202;14768;929;18534;17769;686;227229;18463;786388;682017;101268;208855;15190;741176;643237;95362;303228;23667;949578;820062;125692;230;22;125;113;11;222;16;375;320;53
Uge 47-2021;1339414;102429;4448976;4030571;398414;1226656;84079;4213380;3814952;381859;12789;714;15314;14784;459;224683;16750;764787;679728;82208;207244;13912;722616;642802;77401;292932;20834;916818;811781;101576;208;12;100;94;6;220;14;330;303;27
Uge 46-2021;1362655;89241;4439230;4096919;325349;1248496;73981;4209746;3883594;312087;12506;698;14752;14297;396;218194;14319;712776;648796;61722;201215;12115;674414;614184;58306;283072;17633;853737;775430;75538;201;7;84;80;3;211;8;329;296;33
Uge 45-2021;1388608;72708;4430197;4169794;244712;1272352;60306;4204683;3956797;234854;10453;432;11717;11488;196;203278;10539;670180;626660;41476;187761;9081;634493;593592;39146;259729;12715;797490;745274;49717;174;7;61;60;1;145;15;291;269;22
