Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     799 (50);     805 (50);   1.604
10-19;   2.302 (49);   2.356 (51);   4.658
20-29;   3.652 (52);   3.400 (48);   7.052
30-39;   2.618 (52);   2.455 (48);   5.073
40-49;   3.019 (54);   2.610 (46);   5.629
50-59;   2.932 (52);   2.688 (48);   5.620
60-69;   1.485 (48);   1.621 (52);   3.106
70-79;     995 (48);   1.083 (52);   2.078
80-89;     678 (56);     522 (44);   1.200
90+;     250 (71);     103 (29);     353
I alt;  18.730 (51);  17.643 (49);  36.373
