Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     453 (49);     474 (51);     927
10-19;   1.249 (50);   1.266 (50);   2.515
20-29;   2.439 (54);   2.095 (46);   4.534
30-39;   1.886 (54);   1.616 (46);   3.502
40-49;   2.179 (56);   1.711 (44);   3.890
50-59;   2.133 (55);   1.773 (45);   3.906
60-69;   1.084 (48);   1.176 (52);   2.260
70-79;     709 (46);     826 (54);   1.535
80-89;     559 (57);     427 (43);     986
90+;     219 (73);      83 (27);     302
I alt;  12.910 (53);  11.447 (47);  24.357
