Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   4.183 (48);   4.483 (52);   8.666
10-19;  11.663 (48);  12.462 (52);  24.125
20-29;  14.257 (51);  13.857 (49);  28.114
30-39;   9.929 (51);   9.481 (49);  19.410
40-49;  11.380 (53);  10.037 (47);  21.417
50-59;  10.533 (51);  10.016 (49);  20.549
60-69;   5.209 (48);   5.552 (52);  10.761
70-79;   3.194 (49);   3.334 (51);   6.528
80-89;   1.704 (56);   1.313 (44);   3.017
90+;     614 (69);     271 (31);     885
I alt;  72.666 (51);  70.806 (49); 143.472
