Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   4.742 (48);   5.089 (52);   9.831
10-19;  12.500 (49);  13.268 (51);  25.768
20-29;  15.358 (51);  14.802 (49);  30.160
30-39;  10.801 (51);  10.329 (49);  21.130
40-49;  12.390 (53);  10.833 (47);  23.223
50-59;  11.542 (52);  10.841 (48);  22.383
60-69;   5.688 (48);   6.046 (52);  11.734
70-79;   3.535 (49);   3.657 (51);   7.192
80-89;   1.920 (57);   1.464 (43);   3.384
90+;     717 (70);     304 (30);   1.021
I alt;  79.193 (51);  76.633 (49); 155.826
