Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   3.920 (48);   4.206 (52);   8.126
10-19;  11.247 (48);  12.066 (52);  23.313
20-29;  13.741 (51);  13.407 (49);  27.148
30-39;   9.486 (51);   9.142 (49);  18.628
40-49;  10.860 (53);   9.636 (47);  20.496
50-59;  10.061 (51);   9.650 (49);  19.711
60-69;   5.000 (48);   5.338 (52);  10.338
70-79;   3.052 (49);   3.154 (51);   6.206
80-89;   1.599 (56);   1.234 (44);   2.833
90+;     582 (70);     251 (30);     833
I alt;  69.548 (51);  68.084 (49); 137.632
