Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  29.019 (49);  30.627 (51);  59.646
10-19;  46.987 (50);  47.671 (50);  94.658
20-29;  49.866 (49);  51.081 (51); 100.947
30-39;  38.604 (51);  36.903 (49);  75.507
40-49;  40.583 (52);  37.181 (48);  77.764
50-59;  32.173 (50);  32.396 (50);  64.569
60-69;  17.535 (49);  18.158 (51);  35.693
70-79;  11.185 (50);  11.403 (50);  22.588
80-89;   5.029 (56);   4.023 (44);   9.052
90+;   1.637 (69);     733 (31);   2.370
I alt; 272.618 (50); 270.176 (50); 542.794
