Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  25.527 (49);  26.911 (51);  52.438
10-19;  43.439 (50);  43.998 (50);  87.437
20-29;  47.029 (49);  48.445 (51);  95.474
30-39;  35.728 (51);  34.340 (49);  70.068
40-49;  37.305 (52);  34.015 (48);  71.320
50-59;  29.992 (50);  29.845 (50);  59.837
60-69;  16.212 (49);  16.822 (51);  33.034
70-79;  10.469 (50);  10.647 (50);  21.116
80-89;   4.870 (56);   3.862 (44);   8.732
90+;   1.596 (69);     708 (31);   2.304
I alt; 252.167 (50); 249.593 (50); 501.760
