Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     732 (49);     754 (51);   1.486
10-19;   2.095 (49);   2.172 (51);   4.267
20-29;   3.419 (52);   3.154 (48);   6.573
30-39;   2.467 (52);   2.259 (48);   4.726
40-49;   2.873 (54);   2.428 (46);   5.301
50-59;   2.758 (52);   2.497 (48);   5.255
60-69;   1.404 (48);   1.543 (52);   2.947
70-79;     938 (48);   1.036 (52);   1.974
80-89;     647 (56);     505 (44);   1.152
90+;     244 (71);      98 (29);     342
I alt;  17.577 (52);  16.446 (48);  34.023
