Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     109 (51);     103 (49);     212
10-19;     243 (55);     201 (45);     444
20-29;     892 (62);     544 (38);   1.436
30-39;     923 (63);     553 (37);   1.476
40-49;   1.150 (60);     753 (40);   1.903
50-59;   1.176 (60);     788 (40);   1.964
60-69;     621 (50);     631 (50);   1.252
70-79;     417 (45);     509 (55);     926
80-89;     421 (57);     321 (43);     742
90+;     172 (73);      64 (27);     236
I alt;   6.124 (58);   4.467 (42);  10.591
