Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  34.852 (49);  36.805 (51);  71.657
10-19;  54.704 (50);  54.910 (50); 109.614
20-29;  57.662 (50);  58.427 (50); 116.089
30-39;  44.863 (51);  42.575 (49);  87.438
40-49;  47.215 (52);  43.641 (48);  90.856
50-59;  36.975 (50);  37.550 (50);  74.525
60-69;  19.836 (49);  20.831 (51);  40.667
70-79;  12.130 (50);  12.340 (50);  24.470
80-89;   5.281 (55);   4.281 (45);   9.562
90+;   1.704 (69);     774 (31);   2.478
I alt; 315.222 (50); 312.134 (50); 627.356
