Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.894 (48);  10.738 (52);  20.632
10-19;  21.857 (49);  23.050 (51);  44.907
20-29;  26.896 (50);  26.582 (50);  53.478
30-39;  19.396 (50);  19.094 (50);  38.490
40-49;  21.359 (53);  19.241 (47);  40.600
50-59;  19.702 (51);  19.082 (49);  38.784
60-69;   9.968 (48);  10.630 (52);  20.598
70-79;   5.934 (49);   6.097 (51);  12.031
80-89;   3.475 (58);   2.538 (42);   6.013
90+;   1.315 (70);     551 (30);   1.866
I alt; 139.796 (50); 137.603 (50); 277.399
