Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     831 (50);     840 (50);   1.671
10-19;   2.411 (49);   2.466 (51);   4.877
20-29;   3.793 (52);   3.546 (48);   7.339
30-39;   2.716 (51);   2.566 (49);   5.282
40-49;   3.128 (53);   2.723 (47);   5.851
50-59;   3.028 (52);   2.795 (48);   5.823
60-69;   1.531 (48);   1.679 (52);   3.210
70-79;   1.024 (48);   1.111 (52);   2.135
80-89;     686 (56);     531 (44);   1.217
90+;     253 (71);     105 (29);     358
I alt;  19.401 (51);  18.362 (49);  37.763
