Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.336 (48);  11.177 (52);  21.513
10-19;  23.194 (49);  24.518 (51);  47.712
20-29;  28.584 (50);  28.643 (50);  57.227
30-39;  20.173 (50);  20.011 (50);  40.184
40-49;  22.235 (52);  20.131 (48);  42.366
50-59;  20.306 (51);  19.772 (49);  40.078
60-69;  10.146 (48);  10.849 (52);  20.995
70-79;   5.971 (49);   6.140 (51);  12.111
80-89;   3.491 (58);   2.556 (42);   6.047
90+;   1.321 (70);     557 (30);   1.878
I alt; 145.757 (50); 144.354 (50); 290.111
