Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  18.406 (49);  19.462 (51);  37.868
10-19;  35.696 (49);  36.657 (51);  72.353
20-29;  41.831 (49);  43.438 (51);  85.269
30-39;  29.650 (50);  29.091 (50);  58.741
40-49;  30.718 (53);  27.745 (47);  58.463
50-59;  25.598 (50);  25.106 (50);  50.704
60-69;  13.323 (49);  13.863 (51);  27.186
70-79;   8.307 (49);   8.481 (51);  16.788
80-89;   4.305 (57);   3.314 (43);   7.619
90+;   1.512 (70);     648 (30);   2.160
I alt; 209.346 (50); 207.805 (50); 417.151
