Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   6.363 (48);   6.883 (52);  13.246
10-19;  15.199 (49);  15.928 (51);  31.127
20-29;  19.635 (52);  18.431 (48);  38.066
30-39;  14.106 (51);  13.347 (49);  27.453
40-49;  15.929 (54);  13.645 (46);  29.574
50-59;  15.236 (52);  13.972 (48);  29.208
60-69;   7.860 (49);   8.199 (51);  16.059
70-79;   4.991 (49);   5.130 (51);  10.121
80-89;   3.157 (58);   2.294 (42);   5.451
90+;   1.236 (71);     510 (29);   1.746
I alt; 103.712 (51);  98.339 (49); 202.051
