Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 52-2021;1088700;248668;4539896;3152036;1348148;955783;219807;4231021;2903763;1294824;21922;5413;91986;70588;20485;113967;37065;762395;525743;230767;100257;33365;709459;486704;217996;141096;45828;936542;640501;288845;2454;233;4379;3657;669;355;44;740;459;275
Uge 51-2021;1120124;236460;4521270;3464052;1013461;995401;209361;4230937;3220117;975860;14231;3620;58519;52370;5692;148149;49554;865581;660441;197560;133892;45052;806759;614340;186505;177396;58584;1033145;781545;242671;1027;122;2397;2156;206;315;27;489;356;124
Uge 50-2021;1202417;177338;4499179;3637724;819315;1081542;154467;4227923;3404832;788931;18893;4267;50040;46522;3191;219230;46588;920660;746150;166493;200600;41841;861203;697680;157101;292379;64259;1167157;939803;217090;747;89;1777;1645;102;282;26;475;370;102
Uge 49-2021;1273437;130046;4475924;3818959;626017;1156591;108870;4220935;3593762;601457;18006;2277;27351;25805;1352;233785;26496;845071;710047;129895;215080;22852;794541;667711;122550;316240;35695;1052129;879514;166068;344;41;431;391;39;241;17;412;349;62
Uge 48-2021;1313257;109761;4457313;3945370;490345;1199073;89760;4213373;3725402;470038;14773;929;18529;17764;686;227333;18466;786275;681912;101260;208957;15192;741069;643139;95353;303340;23678;949448;819941;125683;230;22;125;113;11;223;16;375;320;53
Uge 47-2021;1332416;102304;4446044;4027801;398276;1219618;83956;4210494;3812224;381724;12801;715;15303;14773;459;224801;16753;764688;679639;82195;207364;13912;722514;642711;77388;293062;20839;916705;811680;101561;208;12;100;94;6;220;14;330;303;27
Uge 46-2021;1355609;89130;4436301;4094132;325238;1241409;73872;4206861;3880849;311977;12514;698;14743;14288;396;218313;14313;712685;648709;61718;201329;12110;674322;614094;58303;283196;17623;853645;775340;75534;201;7;84;80;3;211;8;330;298;32
Uge 45-2021;1381529;72596;4427272;4166993;244621;1265234;60197;4201801;3954039;234763;10457;434;11710;11482;195;203375;10541;670088;626575;41469;187856;9083;634397;593503;39139;259833;12718;797390;745180;49710;174;7;61;60;1;145;15;291;269;22
Uge 44-2021;1392786;68210;4420689;4243416;160799;1276762;56391;4198138;4030002;154374;7601;250;8021;7888;108;149925;7103;527682;505801;20076;139232;6123;499730;479340;18856;193406;8555;630013;604275;23534;130;5;39;36;3;160;9;206;192;11
Uge 43-2021;1401443;67900;4413250;4279791;115521;1285636;56100;4193279;4067591;110603;5195;177;6428;6347;66;106542;5874;433196;420027;11618;98465;5095;410446;398284;10823;127194;6821;495097;480085;13204;107;3;39;38;1;113;3;182;167;15
Uge 42-2021;1407222;69714;4405986;4298968;85082;1291812;57575;4188275;4088488;81128;3744;141;4719;4659;45;85005;4953;326836;318324;7026;78662;4340;310384;302563;6501;98459;5634;362891;353471;7744;74;1;37;36;1;90;8;143;136;7
Uge 41-2021;1412306;74590;4396434;4301385;67730;1297287;61809;4181088;4093304;64280;2502;82;2396;2371;16;88478;5363;230800;224613;4034;81728;4712;217827;212272;3671;104272;6152;259472;252615;4423;37;1;14;12;2;73;3;84;75;8
Uge 40-2021;1417845;80862;4384961;4303863;42245;1303798;67390;4172558;4098778;40098;2215;92;1691;1672;6;62093;3881;169453;165691;2062;57647;3483;160289;156910;1887;73010;4444;189810;185634;2248;32;0;18;14;2;53;2;54;54;0
Uge 39-2021;1424055;91880;4368880;4301269;12627;1311856;77183;4160432;4100228;12051;1714;90;1175;1156;5;54240;3763;157595;155047;529;50356;3351;149336;147054;495;63760;4304;175262;172401;580;25;0;9;8;0;38;4;42;42;0
Uge 02-2022;1047740;164782;4662415;1949453;2599298;892806;136857;4296307;1725093;2469964;43836;7749;119658;71537;42159;168289;33175;845728;363661;453017;146955;29499;783399;330266;426429;217924;42986;1094996;464935;591847;5262;361;6187;4346;1688;431;49;803;390;407
Uge 01-2022;1066678;224096;4585184;2349608;2174089;923774;194681;4253748;2123515;2075794;26723;5323;94602;66787;26183;137185;37912;834024;443358;379125;118144;33524;771704;403658;357758;176177;48601;1070263;564261;491128;3759;355;5893;4765;1047;346;38;734;401;326
