Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.131 (48);   9.848 (52);  18.979
10-19;  19.369 (49);  20.422 (51);  39.791
20-29;  24.318 (51);  23.489 (49);  47.807
30-39;  17.981 (51);  17.435 (49);  35.416
40-49;  19.740 (53);  17.622 (47);  37.362
50-59;  18.432 (51);  17.646 (49);  36.078
60-69;   9.448 (49);  10.032 (51);  19.480
70-79;   5.799 (49);   5.951 (51);  11.750
80-89;   3.442 (58);   2.520 (42);   5.962
90+;   1.310 (71);     547 (29);   1.857
I alt; 128.970 (51); 125.512 (49); 254.482
