Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  31.878 (49);  33.715 (51);  65.593
10-19;  50.319 (50);  50.898 (50); 101.217
20-29;  52.837 (50);  53.855 (50); 106.692
30-39;  41.212 (51);  39.199 (49);  80.411
40-49;  43.502 (52);  39.957 (48);  83.459
50-59;  34.171 (50);  34.585 (50);  68.756
60-69;  18.588 (49);  19.363 (51);  37.951
70-79;  11.640 (49);  11.882 (51);  23.522
80-89;   5.138 (55);   4.128 (45);   9.266
90+;   1.665 (69);     743 (31);   2.408
I alt; 290.950 (50); 288.325 (50); 579.275
