"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver";"test_AG";"test_AG_diff"
2021-04-03;Hovedstaden;F;56730;619;53843;3256;781514;207;1;165;8;813;4546353;29746;637818;25336
2021-04-03;Hovedstaden;M;53236;676;50148;3378;723037;186;2;164;6;942;3388295;24960;596051;23461
2021-04-03;Midtjylland;F;20374;149;19594;868;519563;58;0;41;0;514;2675841;15287;353243;8615
2021-04-03;Midtjylland;M;19523;193;18699;1077;488734;49;0;33;2;741;1968682;13139;349931;8080
2021-04-03;NA;;0;0;0;0;23;0;0;0;0;0;35;0;0;0
2021-04-03;NA;F;691;0;665;43;18244;1;0;2;0;87;56790;378;30771;1114
2021-04-03;NA;M;1542;3;1441;101;32105;7;0;7;1;120;95920;505;75586;1622
2021-04-03;Nordjylland;F;7721;69;7436;371;245007;20;0;10;0;112;1383079;6508;148929;2984
2021-04-03;Nordjylland;M;7738;109;7334;466;235595;22;0;12;1;190;1019783;5312;150783;2823
2021-04-03;Sjælland;F;16563;177;15940;1063;321696;49;0;40;0;450;1747663;13803;238935;7678
2021-04-03;Sjælland;M;15294;221;14553;1263;300036;51;0;40;2;595;1263844;11101;236671;7052
2021-04-03;Syddanmark;F;16559;96;15565;755;476422;55;0;64;4;598;2556396;18420;412471;11713
2021-04-03;Syddanmark;M;16747;116;15786;856;451114;40;1;72;5;760;1940042;15036;388187;10567
