Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   6.127 (48);   6.663 (52);  12.790
10-19;  14.941 (49);  15.625 (51);  30.566
20-29;  19.194 (52);  18.062 (48);  37.256
30-39;  13.767 (51);  13.001 (49);  26.768
40-49;  15.561 (54);  13.318 (46);  28.879
50-59;  14.919 (52);  13.628 (48);  28.547
60-69;   7.670 (49);   7.971 (51);  15.641
70-79;   4.842 (49);   4.969 (51);   9.811
80-89;   3.048 (58);   2.224 (42);   5.272
90+;   1.197 (71);     481 (29);   1.678
I alt; 101.266 (51);  95.942 (49); 197.208
