Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 49-2021;1274291;129884;4470902;3815134;625499;1157208;108675;4216142;3590025;600949;18031;2242;27250;25719;1351;233499;26390;843155;708528;129614;214801;22751;792754;666284;122281;315450;35511;1049238;877210;165637;345;40;429;389;39;240;17;409;347;61
Uge 48-2021;1313557;109660;4452848;3941361;489927;1199249;89652;4209005;3721479;469628;14780;929;18519;17755;686;227677;18470;785922;681605;101215;209288;15196;740730;642848;95305;303742;23685;949038;819594;125623;231;21;125;113;11;222;16;376;320;54
Uge 47-2021;1332657;102212;4441589;4023691;397971;1219740;83858;4206133;3808207;381418;12808;716;15295;14765;459;225093;16768;764389;679386;82151;207646;13928;722225;642468;77344;293403;20849;916359;811387;101510;209;12;99;93;6;220;13;326;300;26
Uge 46-2021;1355778;89051;4431876;4089962;324999;1241464;73787;4202526;3876770;311736;12525;700;14729;14275;395;218541;14332;712441;648495;61686;201552;12125;674088;613892;58270;283467;17645;853356;775084;75497;202;6;84;80;3;210;9;326;294;32
Uge 45-2021;1381641;72521;4422853;4162758;244455;1265235;60114;4197474;3949898;234592;10464;435;11701;11473;195;203611;10561;669839;626339;41456;188089;9103;634152;593274;39123;260111;12740;797100;744899;49700;174;7;61;60;1;143;15;290;268;22
Uge 44-2021;1392857;68133;4416278;4239156;160660;1276727;56305;4193817;4025834;154233;7605;250;8016;7883;108;150118;7109;527488;505614;20066;139425;6129;499535;479151;18847;193637;8566;629771;604039;23522;130;5;39;36;3;160;9;205;191;11
Uge 43-2021;1401444;67822;4408828;4275517;115410;1285535;56012;4188944;4063407;110489;5199;177;6423;6342;66;106676;5879;433052;419878;11624;98599;5098;410307;398143;10826;127344;6827;494932;479914;13210;107;3;39;38;1;113;3;182;167;15
Uge 42-2021;1407181;69629;4401580;4294715;84982;1291664;57485;4183954;4084322;81025;3748;142;4715;4655;45;85122;4961;326700;318192;7024;78777;4349;310251;302436;6498;98595;5642;362733;353316;7743;74;1;37;36;1;90;8;143;136;7
Uge 41-2021;1412203;74496;4392044;4297154;67646;1297081;61708;4176783;4089156;64193;2502;82;2396;2371;16;88582;5372;230690;224498;4037;81829;4721;217721;212160;3675;104377;6167;259349;252487;4426;37;1;14;12;2;73;3;84;75;8
Uge 40-2021;1417700;80745;4380599;4299675;42166;1303556;67267;4168280;4094668;40016;2217;90;1691;1672;6;62146;3882;169397;165640;2059;57700;3484;160235;156861;1884;73074;4444;189745;185576;2244;32;0;18;14;2;53;2;54;54;0
Uge 39-2021;1423817;91737;4364525;4297095;12560;1311526;77037;4156160;4096137;11981;1716;90;1173;1154;5;54288;3764;157546;155002;524;50405;3352;149291;147013;490;63810;4304;175205;172348;575;25;0;9;8;0;38;4;42;42;0
Uge 38-2021;1431609;110118;4338591;4263884;878;1322207;93685;4135358;4068933;821;1431;77;965;952;0;54971;4759;155719;153065;51;51348;4297;147698;145306;44;63891;5397;171149;168135;56;16;0;6;6;0;32;2;54;54;0
Uge 37-2021;1441589;133724;4305460;4195927;677;1335015;115284;4108064;4008719;632;1294;74;781;763;0;58502;6526;169413;165213;53;54459;5934;160661;156812;44;67607;7453;186778;182046;57;17;0;11;10;0;38;5;44;43;0
Uge 36-2021;1454714;168563;4258004;4064556;599;1350597;147838;4067190;3888505;557;1907;173;1102;1057;0;75148;10272;202582;192945;45;70180;9393;192670;183624;37;87013;11749;225112;214253;56;40;2;8;8;0;85;9;59;57;0
Uge 35-2021;1474503;232963;4175264;3870285;532;1371425;208829;3992804;3707382;494;2665;272;1475;1373;1;101449;17640;224729;205987;48;95276;16507;214160;196343;44;120725;20675;254989;233362;58;56;5;16;13;0;125;13;48;45;0
Uge 34-2021;1504399;340885;4038019;3543884;470;1401082;312213;3866388;3401040;433;3998;471;1699;1493;1;137405;31921;259082;220363;55;129208;30151;246965;210068;50;167204;38171;297624;252092;64;82;5;12;11;0;128;11;59;59;0
