Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  31.234 (49);  33.053 (51);  64.287
10-19;  49.460 (50);  50.127 (50);  99.587
20-29;  52.037 (49);  53.129 (51); 105.166
30-39;  40.574 (51);  38.643 (49);  79.217
40-49;  42.826 (52);  39.276 (48);  82.102
50-59;  33.698 (50);  34.064 (50);  67.762
60-69;  18.344 (49);  19.074 (51);  37.418
70-79;  11.568 (50);  11.776 (50);  23.344
80-89;   5.115 (55);   4.104 (45);   9.219
90+;   1.659 (69);     741 (31);   2.400
I alt; 286.515 (50); 283.987 (50); 570.502
