Uge;Aldersgruppe;Klassifikation;Procent af indlæggelser
uge 46 2021;0-59;Covid-19 diagnose;65,2
uge 47 2021;0-59;Covid-19 diagnose;62,8
uge 48 2021;0-59;Covid-19 diagnose;65,6
uge 49 2021;0-59;Covid-19 diagnose;65,1
uge 50 2021;0-59;Covid-19 diagnose;67,3
uge 51 2021;0-59;Covid-19 diagnose;60,3
uge 52 2021;0-59;Covid-19 diagnose;57,1
uge 1 2022;0-59;Covid-19 diagnose;52,5
uge 46 2021;60+;Covid-19 diagnose;86,7
uge 47 2021;60+;Covid-19 diagnose;80,1
uge 48 2021;60+;Covid-19 diagnose;80,2
uge 49 2021;60+;Covid-19 diagnose;79,0
uge 50 2021;60+;Covid-19 diagnose;77,5
uge 51 2021;60+;Covid-19 diagnose;82,3
uge 52 2021;60+;Covid-19 diagnose;78,7
uge 1 2022;60+;Covid-19 diagnose;73,3
uge 46 2021;0-59;Luftvejs- eller obsdiagnose;3,6
uge 47 2021;0-59;Luftvejs- eller obsdiagnose;5,6
uge 48 2021;0-59;Luftvejs- eller obsdiagnose;3,7
uge 49 2021;0-59;Luftvejs- eller obsdiagnose;5,4
uge 50 2021;0-59;Luftvejs- eller obsdiagnose;4,1
uge 51 2021;0-59;Luftvejs- eller obsdiagnose;3,2
uge 52 2021;0-59;Luftvejs- eller obsdiagnose;4,6
uge 1 2022;0-59;Luftvejs- eller obsdiagnose;3,8
uge 46 2021;60+;Luftvejs- eller obsdiagnose;1,0
uge 47 2021;60+;Luftvejs- eller obsdiagnose;2,4
uge 48 2021;60+;Luftvejs- eller obsdiagnose;2,6
uge 49 2021;60+;Luftvejs- eller obsdiagnose;4,3
uge 50 2021;60+;Luftvejs- eller obsdiagnose;4,3
uge 51 2021;60+;Luftvejs- eller obsdiagnose;2,5
uge 52 2021;60+;Luftvejs- eller obsdiagnose;2,5
uge 1 2022;60+;Luftvejs- eller obsdiagnose;3,3
uge 46 2021;0-59;Anden diagnose;31,2
uge 47 2021;0-59;Anden diagnose;31,6
uge 48 2021;0-59;Anden diagnose;30,6
uge 49 2021;0-59;Anden diagnose;29,6
uge 50 2021;0-59;Anden diagnose;28,6
uge 51 2021;0-59;Anden diagnose;36,6
uge 52 2021;0-59;Anden diagnose;38,4
uge 1 2022;0-59;Anden diagnose;43,6
uge 46 2021;60+;Anden diagnose;12,2
uge 47 2021;60+;Anden diagnose;17,4
uge 48 2021;60+;Anden diagnose;17,2
uge 49 2021;60+;Anden diagnose;16,7
uge 50 2021;60+;Anden diagnose;18,2
uge 51 2021;60+;Anden diagnose;15,2
uge 52 2021;60+;Anden diagnose;18,9
uge 1 2022;60+;Anden diagnose;23,4
