uge;år;Klassifikation;Antal nyindlæggelser;Andel nyindlæggelser
23;2020;Covid-19 diagnose;11;0,6111
23;2020;Luftvejs- eller obsdiagnose;3;0,1667
23;2020;Anden diagnose;4;0,2222
24;2020;Covid-19 diagnose;12;0,7500
24;2020;Luftvejs- eller obsdiagnose;2;0,1250
24;2020;Anden diagnose;2;0,1250
25;2020;Covid-19 diagnose;26;0,9630
25;2020;Luftvejs- eller obsdiagnose;1;0,0370
25;2020;Anden diagnose;0;0,0000
26;2020;Covid-19 diagnose;27;0,9310
26;2020;Luftvejs- eller obsdiagnose;0;0,0000
26;2020;Anden diagnose;2;0,0690
27;2020;Covid-19 diagnose;12;0,9231
27;2020;Luftvejs- eller obsdiagnose;0;0,0000
27;2020;Anden diagnose;1;0,0769
28;2020;Covid-19 diagnose;16;1,0000
28;2020;Luftvejs- eller obsdiagnose;0;0,0000
28;2020;Anden diagnose;0;0,0000
29;2020;Covid-19 diagnose;13;0,9286
29;2020;Luftvejs- eller obsdiagnose;0;0,0000
29;2020;Anden diagnose;1;0,0714
30;2020;Covid-19 diagnose;16;0,8421
30;2020;Luftvejs- eller obsdiagnose;0;0,0000
30;2020;Anden diagnose;3;0,1579
31;2020;Covid-19 diagnose;21;0,8400
31;2020;Luftvejs- eller obsdiagnose;1;0,0400
31;2020;Anden diagnose;3;0,1200
32;2020;Covid-19 diagnose;27;0,8438
32;2020;Luftvejs- eller obsdiagnose;1;0,0312
32;2020;Anden diagnose;4;0,1250
33;2020;Covid-19 diagnose;23;0,8519
33;2020;Luftvejs- eller obsdiagnose;1;0,0370
33;2020;Anden diagnose;3;0,1111
34;2020;Covid-19 diagnose;27;0,8182
34;2020;Luftvejs- eller obsdiagnose;2;0,0606
34;2020;Anden diagnose;4;0,1212
35;2020;Covid-19 diagnose;17;0,8500
35;2020;Luftvejs- eller obsdiagnose;1;0,0500
35;2020;Anden diagnose;2;0,1000
36;2020;Covid-19 diagnose;37;0,8222
36;2020;Luftvejs- eller obsdiagnose;2;0,0444
36;2020;Anden diagnose;6;0,1333
37;2020;Covid-19 diagnose;58;0,7532
37;2020;Luftvejs- eller obsdiagnose;8;0,1039
37;2020;Anden diagnose;11;0,1429
38;2020;Covid-19 diagnose;98;0,8448
38;2020;Luftvejs- eller obsdiagnose;8;0,0690
38;2020;Anden diagnose;10;0,0862
39;2020;Covid-19 diagnose;117;0,8731
39;2020;Luftvejs- eller obsdiagnose;4;0,0299
39;2020;Anden diagnose;13;0,0970
40;2020;Covid-19 diagnose;108;0,8504
40;2020;Luftvejs- eller obsdiagnose;4;0,0315
40;2020;Anden diagnose;15;0,1181
41;2020;Covid-19 diagnose;83;0,7757
41;2020;Luftvejs- eller obsdiagnose;6;0,0561
41;2020;Anden diagnose;18;0,1682
42;2020;Covid-19 diagnose;127;0,9137
42;2020;Luftvejs- eller obsdiagnose;2;0,0144
42;2020;Anden diagnose;10;0,0719
43;2020;Covid-19 diagnose;140;0,8589
43;2020;Luftvejs- eller obsdiagnose;5;0,0307
43;2020;Anden diagnose;18;0,1104
44;2020;Covid-19 diagnose;204;0,8536
44;2020;Luftvejs- eller obsdiagnose;15;0,0628
44;2020;Anden diagnose;20;0,0837
45;2020;Covid-19 diagnose;234;0,8357
45;2020;Luftvejs- eller obsdiagnose;13;0,0464
45;2020;Anden diagnose;33;0,1179
46;2020;Covid-19 diagnose;242;0,8736
46;2020;Luftvejs- eller obsdiagnose;8;0,0289
46;2020;Anden diagnose;27;0,0975
47;2020;Covid-19 diagnose;253;0,8188
47;2020;Luftvejs- eller obsdiagnose;10;0,0324
47;2020;Anden diagnose;46;0,1489
48;2020;Covid-19 diagnose;234;0,8571
48;2020;Luftvejs- eller obsdiagnose;10;0,0366
48;2020;Anden diagnose;29;0,1062
49;2020;Covid-19 diagnose;327;0,8450
49;2020;Luftvejs- eller obsdiagnose;10;0,0258
49;2020;Anden diagnose;50;0,1292
50;2020;Covid-19 diagnose;475;0,7917
50;2020;Luftvejs- eller obsdiagnose;33;0,0550
50;2020;Anden diagnose;92;0,1533
51;2020;Covid-19 diagnose;828;0,8475
51;2020;Luftvejs- eller obsdiagnose;34;0,0348
51;2020;Anden diagnose;115;0,1177
52;2020;Covid-19 diagnose;907;0,8679
52;2020;Luftvejs- eller obsdiagnose;33;0,0316
52;2020;Anden diagnose;105;0,1005
53;2020;Covid-19 diagnose;897;0,9006
53;2020;Luftvejs- eller obsdiagnose;19;0,0191
53;2020;Anden diagnose;80;0,0803
1;2021;Covid-19 diagnose;790;0,9133
1;2021;Luftvejs- eller obsdiagnose;17;0,0197
1;2021;Anden diagnose;58;0,0671
2;2021;Covid-19 diagnose;582;0,8832
2;2021;Luftvejs- eller obsdiagnose;10;0,0152
2;2021;Anden diagnose;67;0,1017
3;2021;Covid-19 diagnose;518;0,8900
3;2021;Luftvejs- eller obsdiagnose;10;0,0172
3;2021;Anden diagnose;54;0,0928
4;2021;Covid-19 diagnose;292;0,8391
4;2021;Luftvejs- eller obsdiagnose;15;0,0431
4;2021;Anden diagnose;41;0,1178
5;2021;Covid-19 diagnose;199;0,8578
5;2021;Luftvejs- eller obsdiagnose;2;0,0086
5;2021;Anden diagnose;31;0,1336
6;2021;Covid-19 diagnose;165;0,8010
6;2021;Luftvejs- eller obsdiagnose;10;0,0485
6;2021;Anden diagnose;31;0,1505
7;2021;Covid-19 diagnose;134;0,7976
7;2021;Luftvejs- eller obsdiagnose;6;0,0357
7;2021;Anden diagnose;28;0,1667
8;2021;Covid-19 diagnose;159;0,8413
8;2021;Luftvejs- eller obsdiagnose;6;0,0317
8;2021;Anden diagnose;24;0,1270
9;2021;Covid-19 diagnose;177;0,8939
9;2021;Luftvejs- eller obsdiagnose;4;0,0202
9;2021;Anden diagnose;17;0,0859
10;2021;Covid-19 diagnose;154;0,8370
10;2021;Luftvejs- eller obsdiagnose;6;0,0326
10;2021;Anden diagnose;24;0,1304
11;2021;Covid-19 diagnose;138;0,7709
11;2021;Luftvejs- eller obsdiagnose;13;0,0726
11;2021;Anden diagnose;28;0,1564
12;2021;Covid-19 diagnose;196;0,8235
12;2021;Luftvejs- eller obsdiagnose;11;0,0462
12;2021;Anden diagnose;31;0,1303
13;2021;Covid-19 diagnose;210;0,8537
13;2021;Luftvejs- eller obsdiagnose;5;0,0203
13;2021;Anden diagnose;31;0,1260
14;2021;Covid-19 diagnose;183;0,8756
14;2021;Luftvejs- eller obsdiagnose;3;0,0144
14;2021;Anden diagnose;23;0,1100
15;2021;Covid-19 diagnose;186;0,8493
15;2021;Luftvejs- eller obsdiagnose;6;0,0274
15;2021;Anden diagnose;27;0,1233
16;2021;Covid-19 diagnose;164;0,7810
16;2021;Luftvejs- eller obsdiagnose;9;0,0429
16;2021;Anden diagnose;37;0,1762
17;2021;Covid-19 diagnose;178;0,8517
