Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  36.218 (49);  38.232 (51);  74.450
10-19;  56.964 (50);  56.987 (50); 113.951
20-29;  60.075 (50);  60.767 (50); 120.842
30-39;  46.823 (51);  44.447 (49);  91.270
40-49;  49.463 (52);  45.752 (48);  95.215
50-59;  38.710 (50);  39.331 (50);  78.041
60-69;  20.601 (49);  21.708 (51);  42.309
70-79;  12.388 (50);  12.595 (50);  24.983
80-89;   5.357 (55);   4.353 (45);   9.710
90+;   1.716 (69);     781 (31);   2.497
I alt; 328.315 (50); 324.953 (50); 653.268
