Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   8.740 (48);   9.447 (52);  18.187
10-19;  18.602 (49);  19.612 (51);  38.214
20-29;  23.488 (51);  22.542 (49);  46.030
30-39;  17.377 (51);  16.735 (49);  34.112
40-49;  19.096 (53);  16.929 (47);  36.025
50-59;  17.922 (51);  17.024 (49);  34.946
60-69;   9.199 (49);   9.719 (51);  18.918
70-79;   5.704 (49);   5.849 (51);  11.553
80-89;   3.420 (58);   2.505 (42);   5.925
90+;   1.306 (71);     545 (29);   1.851
I alt; 124.854 (51); 120.907 (49); 245.761
