Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.414 (48);  11.245 (52);  21.659
10-19;  23.389 (49);  24.720 (51);  48.109
20-29;  28.861 (50);  28.990 (50);  57.851
30-39;  20.326 (50);  20.214 (50);  40.540
40-49;  22.373 (52);  20.282 (48);  42.655
50-59;  20.387 (51);  19.869 (49);  40.256
60-69;  10.174 (48);  10.870 (52);  21.044
70-79;   5.979 (49);   6.148 (51);  12.127
80-89;   3.496 (58);   2.563 (42);   6.059
90+;   1.322 (70);     557 (30);   1.879
I alt; 146.721 (50); 145.458 (50); 292.179
