Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 47-2021;1331767;102172;4439983;4022184;397889;1218786;83817;4204566;3806732;381340;12800;717;15274;14747;456;224745;16766;763620;678789;81985;207328;13929;721503;641900;77194;292842;20835;915261;810538;101270;209;12;101;94;7;217;12;324;298;26
Uge 46-2021;1355187;89030;4430246;4088418;324941;1240814;73765;4200934;3875258;311679;12529;700;14719;14265;395;218707;14340;712254;648323;61675;201711;12135;673906;613723;58259;283664;17651;853139;774885;75483;203;6;83;79;3;209;9;325;293;32
Uge 45-2021;1380974;72515;4421217;4161191;244415;1264511;60108;4195875;3948363;234552;10466;436;11698;11470;195;203746;10562;669706;626216;41451;188219;9104;634023;593155;39118;260270;12738;796952;744762;49694;174;7;61;60;1;143;15;290;268;22
Uge 44-2021;1392162;68124;4414638;4237574;160628;1275974;56298;4192214;4024288;154200;7603;250;8014;7881;108;150225;7109;527391;505522;20062;139529;6126;499441;479061;18843;193770;8563;629653;603926;23518;130;5;39;36;3;159;8;206;192;11
Uge 43-2021;1400707;67803;4407163;4273903;115381;1284741;56000;4187316;4061830;110460;5200;176;6422;6341;66;106746;5874;432980;419810;11620;98668;5094;410233;398073;10822;127420;6820;494855;479841;13206;108;2;39;38;1;114;3;180;165;15
Uge 42-2021;1406424;69601;4399919;4293114;84960;1290850;57463;4182331;4082756;81003;3751;141;4713;4653;45;85170;4960;326653;318146;7024;78821;4347;310207;302393;6498;98645;5640;362683;353266;7744;75;1;37;36;1;90;8;143;136;7
Uge 41-2021;1411424;74462;4390393;4295554;67629;1296245;61682;4175170;4087592;64176;2502;83;2395;2370;16;88632;5374;230630;224439;4036;81881;4722;217661;212101;3674;104432;6168;259287;252426;4425;37;1;14;12;2;73;3;84;75;8
Uge 40-2021;1416898;80704;4378963;4298090;42156;1302704;67229;4166682;4093119;40005;2216;90;1691;1672;6;62178;3882;169364;165610;2057;57730;3485;160202;156831;1882;73106;4443;189710;185544;2242;32;0;18;14;2;53;2;54;54;0
Uge 39-2021;1422972;91689;4362870;4295514;12553;1310632;76991;4154545;4094591;11973;1716;90;1173;1154;5;54316;3761;157526;154983;523;50433;3348;149272;146995;489;63838;4301;175184;172328;574;25;0;9;8;0;38;4;42;42;0
Uge 38-2021;1430743;110049;4336961;4262336;873;1321294;93621;4133765;4067413;815;1431;77;965;952;0;54984;4758;155700;153049;49;51360;4296;147681;145292;41;63904;5396;171128;168117;54;16;0;6;6;0;32;2;54;54;0
Uge 37-2021;1440698;133631;4303867;4194413;676;1334080;115199;4106503;4007233;630;1294;74;781;763;0;58526;6527;169393;165195;52;54482;5935;160643;156796;43;67630;7453;186759;182029;56;17;0;11;10;0;38;5;44;43;0
Uge 36-2021;1453809;168439;4256451;4063080;598;1349651;147724;4065663;3887055;555;1907;173;1101;1056;0;75162;10271;202560;192925;44;70194;9391;192650;183606;36;87024;11749;225090;214233;55;40;2;8;8;0;85;9;59;57;0
Uge 35-2021;1473563;232823;4173740;3868860;532;1370445;208699;3991307;3705982;493;2664;272;1475;1373;1;101469;17639;224715;205976;48;95296;16506;214146;196331;44;120744;20673;254976;233352;58;56;5;16;13;0;125;13;48;45;0
Uge 34-2021;1503422;340731;4036540;3542529;473;1400070;312064;3864936;3399708;435;3998;471;1699;1493;1;137425;31915;259062;220345;55;129227;30146;246946;210050;50;167226;38163;297602;252073;63;82;5;12;11;0;128;11;59;59;0
Uge 33-2021;1541210;512884;3826954;3257346;427;1436443;477327;3668748;3131481;391;4460;665;1663;1335;0;127287;45559;221052;175820;31;119765;43348;210986;167781;30;156806;55623;258525;204137;36;101;2;11;9;0;150;13;58;55;0
Uge 32-2021;1587965;803692;3490077;3016299;384;1482450;755668;3351980;2904460;351;4152;1076;1570;1117;0;104841;65246;176917;141665;23;98768;62422;168756;135162;22;125143;77650;203521;161870;27;102;3;14;11;0;119;29;37;34;0
