Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  24.372 (49);  25.665 (51);  50.037
10-19;  42.051 (50);  42.788 (50);  84.839
20-29;  46.129 (49);  47.584 (51);  93.713
30-39;  34.724 (51);  33.404 (49);  68.128
40-49;  36.247 (52);  32.923 (48);  69.170
50-59;  29.254 (50);  28.956 (50);  58.210
60-69;  15.711 (49);  16.299 (51);  32.010
70-79;  10.129 (50);  10.318 (50);  20.447
80-89;   4.783 (56);   3.780 (44);   8.563
90+;   1.582 (69);     702 (31);   2.284
I alt; 244.982 (50); 242.419 (50); 487.401
