Dato;AG_testede;AG_pos;AGpos_minusPCRkonf;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2020-04-08;18;0;0;0;0;0;0
2020-04-12;12;0;0;0;0;0;1
2021-01-03;1;0;0;0;0;0;1
2021-01-05;1;0;0;0;0;0;0
2021-01-08;2;0;0;0;0;0;0
2021-01-12;2;0;0;0;0;0;0
2021-01-14;17;0;0;0;0;0;17
2021-01-15;14;0;0;0;0;0;14
2021-01-16;30;0;0;0;0;0;30
2021-01-17;17;0;0;0;0;1;16
2021-01-18;64;0;0;0;0;2;62
2021-01-25;5;0;0;0;0;0;0
2021-02-01;4762;8;4;2;2;2;293
2021-02-02;4588;8;3;5;0;5;308
2021-02-03;4809;9;4;5;0;6;343
2021-02-04;4448;4;2;2;0;5;322
2021-02-05;4318;7;2;4;1;6;280
2021-02-06;2572;8;2;6;0;3;262
2021-02-07;2993;11;4;7;0;6;326
2021-02-08;6872;11;5;6;0;5;439
2021-02-09;6010;6;2;4;0;5;390
2021-02-10;6994;13;8;4;1;1;498
2021-02-11;8906;11;5;5;1;3;533
2021-02-12;9077;9;5;3;1;4;475
2021-02-13;4803;13;6;6;1;6;339
2021-02-14;4757;13;4;7;2;9;435
2021-02-15;16945;48;24;17;7;25;1154
2021-02-16;16734;58;15;32;10;19;1338
2021-02-17;25871;84;32;43;9;20;2012
2021-02-18;29762;51;11;33;4;30;1801
2021-02-19;33893;85;31;42;12;37;1827
2021-02-20;21441;62;21;33;8;36;1621
2021-02-21;20055;93;27;59;4;41;1693
2021-02-22;25252;82;20;45;15;27;1896
2021-02-23;29109;100;30;58;10;34;2038
2021-02-24;29413;91;34;43;12;33;2113
2021-02-25;27941;83;30;44;9;20;1621
2021-02-26;35725;77;28;35;14;41;1823
2021-02-27;22263;71;22;43;6;17;1560
2021-02-28;24101;93;25;55;13;29;1973
2021-03-01;34800;73;17;37;17;17;2196
2021-03-02;37722;90;17;47;24;25;2074
2021-03-03;43424;105;32;36;37;43;3331
2021-03-04;55592;178;31;48;95;31;3603
2021-03-05;63918;167;34;44;88;55;4104
2021-03-06;38164;132;30;51;51;59;3055
2021-03-07;39994;204;37;58;105;61;3522
2021-03-08;63550;233;33;79;121;78;3921
2021-03-09;62239;190;21;62;106;63;3411
2021-03-10;57296;235;37;77;121;66;3838
2021-03-11;58514;170;22;51;97;43;3524
2021-03-12;59757;167;37;34;96;31;2972
2021-03-13;55506;151;32;56;60;64;3354
2021-03-14;72338;177;31;50;95;83;4151
2021-03-15;109719;262;36;107;114;105;5662
2021-03-16;115800;268;43;107;118;107;5318
2021-03-17;102593;196;41;83;66;105;5772
2021-03-18;123214;220;42;120;56;103;6202
2021-03-19;91051;148;23;77;45;71;4204
2021-03-20;56809;135;19;81;33;94;3628
2021-03-21;89186;207;33;120;53;126;5425
2021-03-22;132270;235;41;121;69;135;6681
2021-03-23;137272;200;26;113;59;134;6488
2021-03-24;119280;197;37;111;46;140;6382
2021-03-25;143555;234;56;124;51;143;7132
2021-03-26;129978;178;33;98;44;125;6139
2021-03-27;65014;160;24;103;32;91;4332
2021-03-28;63003;159;27;97;33;106;4677
2021-03-29;104138;255;29;153;72;149;6727
2021-03-30;112706;241;39;142;57;126;6301
2021-03-31;91971;146;17;89;39;65;4678
2021-04-01;100355;204;25;119;55;127;6172
2021-04-02;94350;200;28;109;58;84;6568
2021-04-03;81576;191;26;99;60;78;5866
2021-04-04;96550;167;18;93;53;107;6538
2021-04-05;190460;283;31;135;111;116;11798
2021-04-06;207083;282;32;145;100;122;11201
2021-04-07;184305;260;28;128;102;145;9873
2021-04-08;227148;260;37;145;73;158;11905
2021-04-09;184682;204;24;113;65;81;9425
2021-04-10;89888;155;26;85;43;63;3020
2021-04-11;157747;191;81;62;48;35;2307
2021-04-12;262173;267;241;7;18;3;490
